Dose,Category,Location,Denominator,Coverage,Lower CI,Higher CI,Year
3dosesDTaPVaccinationPoverty,Living Below Poverty,AL,68.000000,90.400000,72.800000,97.100000,2014
4dosesDTaPVaccinationWIC,Not Participating ,SD,139.000000,88.700000,74.000000,95.600000,2011
4dosesDTaPVaccinationVFCProgramProvider,Participating,MN,194.000000,89.100000,80.300000,94.200000,2004
4dosesDTaPVaccinationFacilityType,Private,NJ,342.000000,82.900000,76.200000,87.900000,1996
3dosesDTaPVaccinationUrbanicity,Living In A Non MSA,NE,158.000000,95.500000,90.500000,97.900000,1997
3dosesDTaPVaccinationUrbanicity,Living in an MSA Noncentral City,KY,76.000000,96.800000,87.800000,99.200000,2000
4dosesDTaPVaccinationAge,24 Months,NC,318.000000,82.300000,75.700000,87.400000,2008
3dosesDTaPVaccinationWIC,Not Participating ,MS,112.000000,96.700000,91.000000,98.800000,2010
3dosesDTaPVaccinationPoverty,Living At or Above Poverty,NC,198.000000,92.000000,85.200000,95.800000,2012
3dosesDTaPVaccinationAge,19-35 Months,NH,199.000000,97.800000,94.100000,99.200000,2007
3dosesDTaPVaccinationFacilityType,Private,RI,170.000000,100.000000,nan,nan,2017
4dosesDTaPVaccinationWIC,Participating,VT,118.000000,80.500000,70.400000,87.700000,2014
3dosesDTaPVaccinationAge,13 Months,KY,299.000000,94.600000,90.500000,97.000000,1999
3dosesDTaPVaccinationAge,19-35 Months,KS,255.000000,94.500000,90.400000,96.900000,2005
3dosesDTaPVaccinationRaceEthnicity,Black only  non-Hispanic,MA,90.000000,99.600000,96.800000,99.900000,2003
4dosesDTaPVaccinationPoverty,Living Below Poverty,NC,40.000000,83.000000,66.400000,92.300000,2006
3dosesDTaPVaccinationUrbanicity,Living in an MSA Noncentral City,MI,187.000000,97.200000,92.700000,99.000000,1999
3dosesDTaPVaccinationAge,19-35 Months,AK,251.000000,92.800000,89.100000,95.300000,2017
4dosesDTaPVaccinationPoverty,Living At or Above Poverty,AK,229.000000,78.700000,72.100000,84.000000,2001
4dosesDTaPVaccinationFacilityType,Mixed,LA,49.000000,96.700000,87.300000,99.200000,1996
4dosesDTaPVaccinationRaceEthnicity,Hispanic,MD,34.000000,86.400000,66.200000,95.400000,1998
4dosesDTaPVaccinationRaceEthnicity,White only  non-Hispanic,OH,520.000000,77.200000,71.000000,82.300000,1995
4dosesDTaPVaccinationWIC,Not Participating ,CT,187.000000,90.700000,84.400000,94.700000,2009
4dosesDTaPVaccinationPoverty,Living Below Poverty,SD,36.000000,84.800000,68.800000,93.400000,2007
4dosesDTaPVaccinationPoverty,Living Below Poverty,NY,124.000000,74.300000,64.300000,82.300000,2011
3dosesDTaPVaccinationAge,7 Months,CO,212.000000,70.100000,60.600000,78.200000,2007
3dosesDTaPVaccinationFacilityType,Public,RI,32.000000,95.700000,75.200000,99.400000,2017
3dosesDTaPVaccinationFacilityType,Mixed,KS,61.000000,96.700000,87.300000,99.200000,2015
4dosesDTaPVaccinationRaceEthnicity,White only  non-Hispanic,WA,433.000000,80.400000,74.800000,85.000000,1996
3dosesDTaPVaccinationUrbanicity,Living In An MSA Central City,GA,84.000000,98.200000,94.000000,99.500000,2014
3dosesDTaPVaccinationAge,19 Months,SC,286.000000,95.900000,92.900000,97.600000,1998
