Dose,Category,Location,Denominator,Coverage,Lower CI,Higher CI,Year
2dosesHepatitisAVaccinationFacilityType,Private,NH,114.000000,55.700000,44.100000,66.600000,2011
1doseHepatitisAVaccinationAge,24 Months,VT,287.000000,83.600000,78.300000,87.800000,2016
1doseHepatitisAVaccinationRaceEthnicity,Hispanic,NE,44.000000,77.900000,61.100000,88.800000,2012
2dosesHepatitisAVaccinationFacilityType,Public,IA,46.000000,55.100000,37.600000,71.400000,2015
2dosesHepatitisAVaccinationUrbanicity,Living in an MSA Noncentral City,US,7526.000000,1.200000,0.800000,1.800000,2003
2dosesHepatitisAVaccinationWIC,Participating,OK,176.000000,10.800000,6.100000,18.400000,2004
2dosesHepatitisAVaccinationPoverty,Living Below Poverty,PA,121.000000,35.800000,24.200000,49.400000,2009
1doseHepatitisAVaccinationVFCProgramProvider,Participating,IA,216.000000,58.900000,51.400000,65.900000,2008
2dosesHepatitisAVaccinationFacilityType,Public,IL,96.000000,48.400000,34.900000,62.100000,2010
1doseHepatitisAVaccinationFacilityType,Mixed,US,1524.000000,53.800000,49.100000,58.400000,2007
1doseHepatitisAVaccinationUrbanicity,Living In An MSA Central City,OK,87.000000,86.700000,74.900000,93.500000,2008
1doseHepatitisAVaccinationFacilityType,Private,MS,100.000000,71.900000,57.700000,82.700000,2014
2dosesHepatitisAVaccinationWIC,Not Participating ,LA,164.000000,39.300000,31.200000,48.200000,2008
1doseHepatitisAVaccinationFacilityType,Private,OH,198.000000,30.100000,23.300000,38.000000,2007
1doseHepatitisAVaccinationPoverty,Living Below Poverty,PA,151.000000,88.800000,76.900000,95.000000,2015
1doseHepatitisAVaccinationUrbanicity,Living In A Non MSA,IA,101.000000,81.000000,69.300000,88.900000,2015
1doseHepatitisAVaccinationAge,19-35 Months,NY,546.000000,85.700000,82.000000,88.700000,2016
2dosesHepatitisAVaccinationFacilityType,Private,NV,174.000000,52.300000,40.600000,63.600000,2011
1doseHepatitisAVaccinationFacilityType,Other,TX,149.000000,78.500000,66.400000,87.100000,2016
2dosesHepatitisAVaccinationPoverty,Living Below Poverty,VA,35.000000,57.400000,38.600000,74.200000,2012
2dosesHepatitisAVaccinationUrbanicity,Living In An MSA Central City,MA,66.000000,60.500000,45.900000,73.500000,2010
2dosesHepatitisAVaccinationFacilityType,Private,WV,111.000000,54.600000,43.400000,65.400000,2009
1doseHepatitisAVaccinationVFCProgramProvider,Participating,WA,444.000000,79.200000,73.900000,83.600000,2009
2dosesHepatitisAVaccinationUrbanicity,Living In A Non MSA,MN,45.000000,40.000000,21.400000,62.000000,2014
1doseHepatitisAVaccinationFacilityType,Other,MA,32.000000,81.700000,60.300000,92.900000,2013
1doseHepatitisAVaccinationVFCProgramProvider,Participating,WY,223.000000,36.500000,29.000000,44.700000,2007
2dosesHepatitisAVaccinationUrbanicity,Living in an MSA Noncentral City,IL,202.000000,16.500000,11.000000,24.000000,2007
1doseHepatitisAVaccinationUrbanicity,Living in an MSA Noncentral City,MN,102.000000,85.000000,73.600000,92.100000,2017
1doseHepatitisAVaccinationRaceEthnicity,Hispanic,OR,48.000000,91.800000,77.700000,97.300000,2017
2dosesHepatitisAVaccinationVFCProgramProvider,Participating,NV,189.000000,57.400000,49.300000,65.200000,2010
2dosesHepatitisAVaccinationUrbanicity,Living in an MSA Noncentral City,OR,75.000000,53.100000,40.200000,65.600000,2013
2dosesHepatitisAVaccinationFacilityType,Public,US,2988.000000,2.200000,1.100000,3.300000,2003
2dosesHepatitisAVaccinationUrbanicity,Living in an MSA Noncentral City,MA,231.000000,47.600000,39.400000,55.800000,2010
1doseHepatitisAVaccinationFacilityType,Other,SD,73.000000,68.000000,52.200000,80.500000,2014
1doseHepatitisAVaccinationWIC,Not Participating ,SC,179.000000,6.200000,3.400000,11.100000,2006
2dosesHepatitisAVaccinationFacilityType,Mixed,NY,44.000000,64.300000,47.000000,78.500000,2016
2dosesHepatitisAVaccinationPoverty,Living At or Above Poverty,NC,193.000000,62.100000,53.200000,70.300000,2015
1doseHepatitisAVaccinationFacilityType,Mixed,CA,79.000000,85.800000,69.900000,94.000000,2008
1doseHepatitisAVaccinationUrbanicity,Living In A Non MSA,TN,38.000000,77.500000,57.700000,89.700000,2016
