Dose,Category,Location,Denominator,Coverage,Lower CI,Higher CI,Year
3dosesHepatitisBVaccinationFacilityType,Other,IN,56.000000,84.200000,70.200000,92.300000,2010
3dosesHepatitisBVaccinationWIC,Participating,LA,174.000000,97.500000,93.100000,99.100000,2008
3dosesHepatitisBVaccinationFacilityType,Public,NC,63.000000,93.300000,77.100000,98.300000,1997
2dosesHepatitisBVaccinationAge,13 Months,PA,543.000000,92.100000,85.800000,95.700000,2017
3dosesHepatitisBVaccinationAge,19 Months,MT,337.000000,77.300000,72.000000,81.800000,1997
1doseHepatitisBVaccination3dayAge,0-3 days,ME,294.000000,68.800000,62.300000,74.600000,2011
3dosesHepatitisBVaccinationAge,19 Months,WI,317.000000,94.800000,91.300000,97.000000,2009
3dosesHepatitisBVaccinationPoverty,Living Below Poverty,TN,159.000000,92.500000,82.100000,97.100000,2004
2dosesHepatitisBVaccinationAge,13 Months,AL,295.000000,94.900000,89.800000,97.500000,2017
3dosesHepatitisBVaccinationPoverty,Living Below Poverty,NE,38.000000,87.300000,72.300000,94.700000,2001
3dosesHepatitisBVaccinationFacilityType,Private,MI,264.000000,84.600000,78.400000,89.400000,1997
3dosesHepatitisBVaccinationFacilityType,Other,OH,177.000000,82.700000,73.400000,89.300000,1998
2dosesHepatitisBVaccinationAge,5 Months,MI,245.000000,81.500000,73.900000,87.300000,2014
2dosesHepatitisBVaccinationAge,5 Months,OR,283.000000,67.800000,61.700000,73.400000,2002
3dosesHepatitisBVaccinationVFCProgramProvider,Not Participating ,KY,69.000000,97.900000,91.800000,99.500000,2009
3dosesHepatitisBVaccinationRaceEthnicity,Black only  non-Hispanic,GA,173.000000,89.800000,79.900000,95.100000,1996
3dosesHepatitisBVaccinationFacilityType,Private,WY,95.000000,100.000000,nan,nan,2015
3dosesHepatitisBVaccinationFacilityType,Other,IA,79.000000,95.800000,88.100000,98.600000,2015
2dosesHepatitisBVaccinationAge,5 Months,WY,287.000000,68.100000,61.300000,74.200000,2001
3dosesHepatitisBVaccinationAge,19-35 Months,DC,355.000000,89.900000,84.000000,93.700000,2009
1doseHepatitisBVaccination3dayAge,0-3 days,DC,321.000000,72.700000,66.500000,78.200000,2015
1doseHepatitisBVaccination1dayAge,0-1 days,NH,280.000000,37.100000,31.000000,43.600000,2003
3dosesHepatitisBVaccinationUrbanicity,Living In An MSA Central City,RI,68.000000,97.600000,90.700000,99.400000,2010
3dosesHepatitisBVaccinationRaceEthnicity,White only  non-Hispanic,ID,162.000000,92.800000,87.600000,95.900000,2017
3dosesHepatitisBVaccinationUrbanicity,Living in an MSA Noncentral City,VA,125.000000,67.500000,57.400000,76.300000,1995
2dosesHepatitisBVaccinationAge,5 Months,NY,554.000000,81.600000,77.500000,85.000000,2012
3dosesHepatitisBVaccinationFacilityType,Public,ND,30.000000,100.000000,nan,nan,2009
3dosesHepatitisBVaccinationRaceEthnicity,Hispanic,DE,64.000000,85.600000,73.200000,92.800000,2013
3dosesHepatitisBVaccinationAge,13 Months,VA,280.000000,74.800000,68.500000,80.200000,2003
3dosesHepatitisBVaccinationPoverty,Living At or Above Poverty,NH,185.000000,77.200000,70.000000,83.100000,1995
3dosesHepatitisBVaccinationAge,13 Months,IL,574.000000,73.900000,68.900000,78.400000,2004
3dosesHepatitisBVaccinationAge,24 Months,HI,292.000000,88.900000,83.200000,92.900000,2002
1doseHepatitisBVaccinationAge,3 Months,IL,495.000000,94.300000,90.800000,96.400000,2013
3dosesHepatitisBVaccinationUrbanicity,Living In An MSA Central City,WV,70.000000,96.800000,85.200000,99.400000,2008
3dosesHepatitisBVaccinationFacilityType,Public,OR,47.000000,74.600000,59.000000,85.700000,1996
3dosesHepatitisBVaccinationPoverty,Living At or Above Poverty,ID,169.000000,92.700000,87.200000,96.000000,2005
