Dose,Category,Location,Denominator,Coverage,Lower CI,Higher CI,Year
HibPrimarySeriesRaceEthnicity,Hispanic,MA,31.000000,94.900000,71.000000,99.300000,2017
2dosesHibVaccinationAge,5 Months,MA,307.000000,84.400000,78.300000,89.000000,2015
3dosesHibVaccinationPoverty,Living At or Above Poverty,IN,182.000000,90.600000,83.200000,94.900000,2017
3dosesHibVaccinationRaceEthnicity,American Indian or Alaska Native only  non-Hispanic,OK,31.000000,94.500000,82.600000,98.400000,2012
HibFullSeriesVFCProgramProvider,Participating,US,14820.000000,54.800000,53.300000,56.300000,2009
3dosesHibVaccinationVFCProgramProvider,Participating,SD,215.000000,92.600000,85.900000,96.300000,2002
3dosesHibVaccinationFacilityType,Public,AL,124.000000,88.700000,70.700000,96.200000,2000
3dosesHibVaccinationRaceEthnicity,White only  non-Hispanic,HI,73.000000,84.000000,71.800000,91.500000,1999
HibFullSeriesFacilityType,Public,VT,51.000000,84.200000,68.100000,93.000000,2013
HibPrimarySeriesAge,13 Months,FL,276.000000,86.200000,79.800000,90.800000,2010
3dosesHibVaccinationPoverty,Living Below Poverty,CO,55.000000,86.400000,74.600000,93.200000,2001
1doseHibVaccinationAge,3 Months,FL,823.000000,89.400000,85.000000,92.700000,2004
HibFullSeriesFacilityType,Private,AL,167.000000,90.900000,83.400000,95.200000,2016
HibFullSeriesRaceEthnicity,Black only  non-Hispanic,DC,132.000000,80.200000,70.600000,87.300000,2011
1doseHibVaccinationAge,3 Months,NV,320.000000,77.600000,71.200000,82.900000,2009
3dosesHibVaccinationUrbanicity,Living In An MSA Central City,OH,432.000000,92.600000,85.900000,96.200000,2002
3dosesHibVaccinationAge,19-35 Months,UT,297.000000,89.900000,85.100000,93.300000,2004
3dosesHibVaccinationAge,13 Months,CO,325.000000,84.100000,78.600000,88.400000,1999
3dosesHibVaccinationAge,19 Months,PA,543.000000,87.400000,80.900000,91.900000,2017
HibPrimarySeriesPoverty,Living Below Poverty,AK,32.000000,91.800000,75.800000,97.500000,2009
3dosesHibVaccinationAge,13 Months,AZ,569.000000,83.700000,79.500000,87.100000,1999
HibPrimarySeriesFacilityType,Other,HI,61.000000,91.900000,83.000000,96.300000,2011
1doseHibVaccinationAge,3 Months,VT,287.000000,90.300000,85.600000,93.600000,2016
3dosesHibVaccinationPoverty,Living At or Above Poverty,WA,232.000000,89.200000,81.100000,94.100000,2011
HibPrimarySeriesFacilityType,Private,NE,102.000000,97.200000,92.400000,99.000000,2013
2dosesHibVaccinationAge,7 Months,WY,259.000000,82.900000,76.900000,87.600000,2008
1doseHibVaccinationAge,3 Months,VA,278.000000,85.800000,78.600000,90.800000,2009
HibFullSeriesPoverty,Living Below Poverty,NJ,58.000000,73.200000,58.100000,84.400000,2014
HibPrimarySeriesFacilityType,Public,US,1771.000000,89.600000,86.700000,91.900000,2009
3dosesHibVaccinationVFCProgramProvider,Participating,MD,218.000000,95.200000,88.900000,98.000000,2013
3dosesHibVaccinationUrbanicity,Living In An MSA Central City,MS,45.000000,93.900000,83.500000,97.900000,2000
3dosesHibVaccinationUrbanicity,Living In An MSA Central City,ID,51.000000,97.000000,88.300000,99.300000,2004
HibPrimarySeriesVFCProgramProvider,Participating,WV,333.000000,93.300000,89.100000,95.900000,2011
3dosesHibVaccinationUrbanicity,Living In An MSA Central City,NE,134.000000,94.500000,88.300000,97.500000,1999
HibPrimarySeriesFacilityType,Other,OK,37.000000,81.200000,60.700000,92.400000,2010
HibFullSeriesFacilityType,Mixed,MT,41.000000,81.600000,64.400000,91.600000,2017
3dosesHibVaccinationVFCProgramProvider,Participating,AR,285.000000,91.700000,85.900000,95.200000,2010
3dosesHibVaccinationAge,19 Months,OR,275.000000,86.300000,80.500000,90.600000,2013
3dosesHibVaccinationFacilityType,Public,KS,54.000000,99.300000,96.400000,99.900000,2004
3dosesHibVaccinationUrbanicity,Living In An MSA Central City,UT,107.000000,96.300000,89.900000,98.700000,2011
3dosesHibVaccinationWIC,Not Participating ,US,11095.000000,95.300000,94.500000,95.900000,2003
HibPrimarySeriesRaceEthnicity,White only  non-Hispanic,NH,212.000000,95.600000,90.800000,97.900000,2011
3dosesHibVaccinationRaceEthnicity,White only  non-Hispanic,OK,156.000000,77.200000,68.100000,84.300000,2009
HibFullSeriesPoverty,Living At or Above Poverty,MS,129.000000,85.300000,74.300000,92.100000,2015
HibFullSeriesAge,19-35 Months,HI,243.000000,85.300000,78.800000,90.000000,2013
3dosesHibVaccinationFacilityType,Private,NM,148.000000,91.700000,83.900000,95.900000,2008
HibFullSeriesFacilityType,Other,IN,41.000000,48.800000,30.700000,67.300000,2012
3dosesHibVaccinationWIC,Participating,VT,120.000000,95.100000,90.100000,97.700000,2011
HibFullSeriesRaceEthnicity,Multiple Races  non-Hispanic,NV,34.000000,83.600000,64.400000,93.500000,2014
3dosesHibVaccinationVFCProgramProvider,Participating,DE,270.000000,87.500000,81.600000,91.700000,2008
HibFullSeriesFacilityType,Private,DE,260.000000,69.500000,62.200000,75.900000,2010
2dosesHibVaccinationAge,13 Months,TN,339.000000,97.600000,95.500000,98.700000,2009
3dosesHibVaccinationFacilityType,Other,MS,31.000000,93.200000,72.900000,98.600000,2017
HibPrimarySeriesAge,13 Months,LA,282.000000,89.800000,84.700000,93.400000,2017
3dosesHibVaccinationRaceEthnicity,Black only  non-Hispanic,FL,81.000000,99.700000,98.900000,99.900000,2007
3dosesHibVaccinationAge,19 Months,NY,542.000000,89.500000,86.100000,92.100000,2007
3dosesHibVaccinationFacilityType,Private,NJ,234.000000,98.800000,95.700000,99.700000,2012
HibPrimarySeriesAge,19 Months,ME,220.000000,83.400000,76.800000,88.500000,2010
HibPrimarySeriesWIC,Participating,MN,81.000000,90.700000,80.500000,95.900000,2010
HibFullSeriesWIC,Participating,SC,121.000000,42.700000,33.400000,52.500000,2009
HibFullSeriesAge,24 Months,GA,359.000000,73.800000,66.100000,80.200000,2011
3dosesHibVaccinationPoverty,Living At or Above Poverty,WV,214.000000,93.400000,88.900000,96.200000,2010
3dosesHibVaccinationAge,7 Months,MN,236.000000,21.300000,16.100000,27.800000,2006
HibPrimarySeriesVFCProgramProvider,Participating,MI,223.000000,98.500000,96.100000,99.400000,2010
HibFullSeriesPoverty,Living Below Poverty,UT,40.000000,74.500000,56.400000,86.800000,2017
HibFullSeriesWIC,Participating,ME,124.000000,79.100000,69.600000,86.200000,2011
HibFullSeriesWIC,Participating,WI,92.000000,48.300000,36.400000,60.400000,2009
HibPrimarySeriesFacilityType,Private,MA,211.000000,96.300000,90.500000,98.600000,2009
HibPrimarySeriesRaceEthnicity,Asian only  non-Hispanic,NY,57.000000,93.200000,80.800000,97.800000,2016
1doseHibVaccinationAge,3 Months,HI,221.000000,88.100000,82.200000,92.200000,2009
HibPrimarySeriesFacilityType,Other,MA,39.000000,88.300000,74.500000,95.100000,2015
HibFullSeriesUrbanicity,Living In A Non MSA,ID,85.000000,76.000000,64.600000,84.600000,2013
HibPrimarySeriesAge,19-35 Months,AK,192.000000,93.000000,88.600000,95.900000,2009
3dosesHibVaccinationRaceEthnicity,White only  non-Hispanic,NJ,210.000000,95.800000,91.500000,97.900000,1998
2dosesHibVaccinationAge,7 Months,AR,274.000000,81.600000,73.700000,87.500000,2012
HibPrimarySeriesAge,19 Months,OH,280.000000,90.100000,84.900000,93.700000,2009
3dosesHibVaccinationAge,7 Months,AR,347.000000,42.400000,36.000000,49.100000,2008
HibPrimarySeriesUrbanicity,Living in an MSA Noncentral City,ID,80.000000,95.600000,87.700000,98.500000,2012
3dosesHibVaccinationAge,24 Months,US,21310.000000,93.000000,92.400000,93.600000,2003
3dosesHibVaccinationAge,7 Months,GA,313.000000,25.600000,19.600000,32.600000,2007
3dosesHibVaccinationUrbanicity,Living in an MSA Noncentral City,ID,72.000000,92.600000,80.600000,97.400000,2013
HibPrimarySeriesUrbanicity,Living in an MSA Noncentral City,GA,198.000000,97.900000,93.500000,99.400000,2011
3dosesHibVaccinationUrbanicity,Living In A Non MSA,DE,41.000000,90.300000,73.900000,96.900000,1997
3dosesHibVaccinationAge,19 Months,DC,292.000000,86.000000,79.400000,90.800000,2000
3dosesHibVaccinationRaceEthnicity,White only  non-Hispanic,CA,74.000000,86.600000,69.800000,94.800000,2001
2dosesHibVaccinationAge,7 Months,WI,277.000000,87.800000,81.400000,92.300000,2012
3dosesHibVaccinationRaceEthnicity,Black only  non-Hispanic,VA,30.000000,97.300000,82.800000,99.600000,2016
HibPrimarySeriesVFCProgramProvider,Participating,NM,222.000000,91.700000,85.300000,95.500000,2013
HibFullSeriesFacilityType,Private,CO,222.000000,67.600000,58.900000,75.200000,2010
HibPrimarySeriesRaceEthnicity,Hispanic,WA,57.000000,97.400000,83.900000,99.600000,2016
3dosesHibVaccinationUrbanicity,Living In An MSA Central City,CT,63.000000,89.100000,76.500000,95.300000,2001
3dosesHibVaccinationAge,19-35 Months,OR,296.000000,90.200000,83.700000,94.300000,2011
3dosesHibVaccinationAge,7 Months,NC,298.000000,40.800000,33.900000,48.100000,2017
3dosesHibVaccinationWIC,Participating,WY,117.000000,94.100000,87.100000,97.500000,2003
3dosesHibVaccinationUrbanicity,Living in an MSA Noncentral City,NE,54.000000,95.500000,86.200000,98.600000,2011
HibFullSeriesPoverty,Living At or Above Poverty,NC,193.000000,46.400000,37.400000,55.600000,2009
HibFullSeriesAge,24 Months,TX,1545.000000,77.500000,74.200000,80.500000,2017
3dosesHibVaccinationAge,24 Months,NH,195.000000,98.000000,94.100000,99.300000,2015
3dosesHibVaccinationRaceEthnicity,White only  non-Hispanic,NE,240.000000,96.100000,91.800000,98.200000,2004
2dosesHibVaccinationAge,5 Months,SD,266.000000,77.500000,70.000000,83.600000,2004
3dosesHibVaccinationUrbanicity,Living In An MSA Central City,KY,87.000000,88.000000,74.000000,94.900000,1997
2dosesHibVaccinationAge,13 Months,US,16687.000000,93.500000,92.800000,94.200000,2012
3dosesHibVaccinationAge,19-35 Months,NY,433.000000,93.700000,90.000000,96.100000,2005
