dose,category,location,year,coverage,low,high,size
1doseMMRVaccinationWIC,Not Participating ,Idaho,2007,84.600000,76.000000,90.500000,107.000000
1doseMMRVaccinationAge,24 Months,TN-Davidson County,2000,86.900000,80.600000,91.400000,295.000000
1doseMMRVaccinationPoverty,Living At or Above Poverty,Region 10,2009,89.100000,86.700000,91.200000,937.000000
1doseMMRVaccinationPoverty,Unknown poverty,Region  9,2011,97.800000,92.500000,99.400000,47.000000
1doseMMRVaccinationUrbanicity,Living In An MSA Central City,California,1996,91.500000,86.100000,94.900000,394.000000
1doseMMRVaccinationWIC,Not Participating ,Ohio,2003,96.600000,93.800000,98.100000,459.000000
1doseMMRVaccinationPoverty,Unknown poverty,CA-Santa Clara County,1998,93.800000,81.800000,98.100000,32.000000
1doseMMRVaccinationRaceEthnicity,Hispanic,TX-Dallas County,2012,83.700000,73.600000,90.400000,151.000000
1doseMMRVaccinationUrbanicity,Living In An MSA Central City,Montana,2013,90.800000,78.200000,96.400000,67.000000
1doseMMRVaccinationFacilityType,Other,AL-Jefferson County,2002,91.400000,79.900000,96.600000,54.000000
1doseMMRVaccinationFacilityType,Other,Indiana,1996,83.800000,70.400000,91.900000,88.000000
1doseMMRVaccinationAge,13 Months,LA-Orleans Parish,1996,25.900000,20.100000,32.700000,222.000000
1doseMMRVaccinationVFCProgramProvider,Participating,TX-Rest of State,2008,95.000000,89.600000,97.700000,214.000000
1doseMMRVaccinationUrbanicity,Living in an MSA Noncentral City,MN-Rest of State,2007,91.300000,81.900000,96.100000,99.000000
1doseMMRVaccinationWIC,Participating,Nevada,2012,93.500000,88.100000,96.500000,145.000000
1doseMMRVaccinationAge,19-35 Months,New York,2014,93.100000,89.600000,95.400000,466.000000
1doseMMRVaccinationUrbanicity,Living In An MSA Central City,Alaska,2006,87.100000,75.000000,93.800000,78.000000
1doseMMRVaccinationFacilityType,Other,Region  5,2013,89.800000,84.900000,93.200000,345.000000
1doseMMRVaccinationAge,19 Months,United States,2005,86.800000,85.900000,87.600000,17563.000000
1doseMMRVaccinationRaceEthnicity,White only  non-Hispanic,TX-City of Houston,2010,95.700000,87.900000,98.600000,78.000000
1doseMMRVaccinationUrbanicity,Living In An MSA Central City,Region  5,2001,91.400000,89.500000,93.000000,1951.000000
1doseMMRVaccinationWIC,Participating,CA-Santa Clara County,2008,100.000000,nan,nan,53.000000
1doseMMRVaccinationPoverty,Living Below Poverty,Ohio,2013,82.300000,69.800000,90.300000,77.000000
1doseMMRVaccinationRaceEthnicity,Hispanic,TX-Bexar County,2017,95.900000,90.800000,98.200000,140.000000
1doseMMRVaccinationWIC,Not Participating ,Connecticut,2016,95.600000,90.400000,98.000000,173.000000
1doseMMRVaccinationFacilityType,Private,KS-Rest of State,2001,91.000000,79.000000,96.500000,109.000000
1doseMMRVaccinationUrbanicity,Living In An MSA Central City,PA-Rest of State,2012,77.300000,59.800000,88.600000,60.000000
1doseMMRVaccinationRaceEthnicity,Hispanic,New Mexico,2015,86.600000,76.300000,92.900000,142.000000
1doseMMRVaccinationRaceEthnicity,White only  non-Hispanic,NY-Rest of State,2011,88.500000,80.400000,93.500000,185.000000
1doseMMRVaccinationAge,19-35 Months,NV-Rest of State,1997,87.900000,82.900000,91.500000,284.000000
1doseMMRVaccinationRaceEthnicity,White only  non-Hispanic,Alabama,1999,91.800000,87.300000,94.800000,369.000000
1doseMMRVaccinationAge,19-35 Months,Iowa,2011,86.700000,80.000000,91.400000,313.000000
1doseMMRVaccinationAge,19 Months,KS-Rest of State,2000,78.500000,71.800000,83.900000,285.000000
