Dose,Category,Location,Denominator,Coverage,Lower CI,Higher CI,Year
4dosesPCVVaccinationUrbanicity,Living In A Non MSA,TN,35.000000,86.400000,62.800000,96.000000,2015
4dosesPCVVaccinationPoverty,Living Below Poverty,OR,38.000000,68.100000,48.900000,82.700000,2007
4dosesPCVVaccinationPoverty,Living At or Above Poverty,AL,193.000000,87.000000,77.600000,92.800000,2017
4dosesPCVVaccinationUrbanicity,Living In A Non MSA,ME,106.000000,78.700000,68.700000,86.200000,2016
3dosesPCVVaccinationAge,19-35 Months,ND,278.000000,29.500000,23.900000,35.900000,2002
3dosesPCVVaccinationVFCProgramProvider,Not Participating ,KS,88.000000,96.000000,89.700000,98.500000,2011
3dosesPCVVaccinationPoverty,Living At or Above Poverty,AL,193.000000,95.000000,87.000000,98.200000,2017
4dosesPCVVaccinationPoverty,Living At or Above Poverty,PA,402.000000,87.700000,80.400000,92.500000,2017
4dosesPCVVaccinationFacilityType,Public,WV,37.000000,68.100000,49.900000,82.100000,2010
4dosesPCVVaccinationFacilityType,Other,AK,44.000000,72.900000,55.300000,85.500000,2017
4dosesPCVVaccinationRaceEthnicity,Hispanic,MD,84.000000,92.600000,74.400000,98.200000,2011
3dosesPCVVaccinationPoverty,Living At or Above Poverty,NC,232.000000,80.500000,73.100000,86.300000,2004
3dosesPCVVaccinationVFCProgramProvider,Participating,FL,219.000000,95.100000,88.500000,98.000000,2012
4dosesPCVVaccinationRaceEthnicity,White only  non-Hispanic,MT,244.000000,79.000000,69.700000,86.000000,2011
4dosesPCVVaccinationPoverty,Living At or Above Poverty,MD,336.000000,55.200000,47.400000,62.800000,2005
3dosesPCVVaccinationFacilityType,Mixed,TN,80.000000,82.000000,68.200000,90.700000,2004
3dosesPCVVaccinationFacilityType,Mixed,MD,36.000000,92.800000,64.600000,98.900000,2009
3dosesPCVVaccinationPoverty,Living Below Poverty,NM,97.000000,92.400000,85.300000,96.200000,2010
3dosesPCVVaccinationAge,19-35 Months,FL,346.000000,94.000000,89.700000,96.500000,2011
3dosesPCVVaccinationFacilityType,Private,AR,110.000000,83.200000,71.300000,90.800000,2004
4dosesPCVVaccinationUrbanicity,Living In An MSA Central City,MA,58.000000,82.300000,61.300000,93.200000,2011
3dosesPCVVaccinationPoverty,Living At or Above Poverty,ND,259.000000,93.500000,88.800000,96.300000,2013
4dosesPCVVaccinationVFCProgramProvider,Participating,GA,296.000000,85.400000,79.000000,90.200000,2011
3dosesPCVVaccinationWIC,Not Participating ,GU,131.000000,86.800000,78.100000,92.400000,2016
4dosesPCVVaccinationAge,19-35 Months,NV,297.000000,78.800000,72.400000,84.000000,2014
3dosesPCVVaccinationUrbanicity,Living in an MSA Noncentral City,UT,129.000000,87.100000,75.800000,93.600000,2008
3dosesPCVVaccinationUrbanicity,Living in an MSA Noncentral City,WA,114.000000,94.000000,87.200000,97.300000,2016
3dosesPCVVaccinationVFCProgramProvider,Not Participating ,GU,48.000000,89.300000,76.400000,95.600000,2017
3dosesPCVVaccinationRaceEthnicity,Hispanic,CO,90.000000,45.900000,34.400000,57.900000,2003
3dosesPCVVaccinationAge,7 Months,OR,296.000000,64.200000,57.300000,70.500000,2012
1dosePCVVaccinationAge,3 Months,MT,264.000000,79.500000,73.300000,84.500000,2010
3dosesPCVVaccinationAge,19 Months,ME,260.000000,92.100000,87.500000,95.100000,2016
4dosesPCVVaccinationUrbanicity,Living In A Non MSA,GA,54.000000,70.000000,51.600000,83.600000,2007
1dosePCVVaccinationAge,3 Months,DC,320.000000,81.400000,75.100000,86.300000,2012
3dosesPCVVaccinationVFCProgramProvider,Participating,GA,360.000000,85.900000,80.100000,90.300000,2006
4dosesPCVVaccinationAge,19 Months,NJ,372.000000,71.400000,65.100000,76.900000,2011
1dosePCVVaccinationAge,3 Months,KY,241.000000,86.200000,80.500000,90.400000,2015
4dosesPCVVaccinationVFCProgramProvider,Participating,MN,204.000000,84.800000,76.700000,90.400000,2012
3dosesPCVVaccinationAge,7 Months,KY,265.000000,39.100000,32.700000,46.000000,2003
4dosesPCVVaccinationUrbanicity,Living in an MSA Noncentral City,WI,116.000000,96.300000,88.500000,98.900000,2010
3dosesPCVVaccinationRaceEthnicity,White only  non-Hispanic,MA,291.000000,95.400000,90.300000,97.800000,2006
4dosesPCVVaccinationPoverty,Living Below Poverty,AL,74.000000,53.800000,38.800000,68.100000,2005
3dosesPCVVaccinationWIC,Not Participating ,OK,107.000000,97.200000,92.300000,99.000000,2014
4dosesPCVVaccinationAge,19-35 Months,ID,235.000000,83.600000,76.400000,88.900000,2014
4dosesPCVVaccinationWIC,Not Participating ,MS,96.000000,90.400000,80.700000,95.500000,2017
4dosesPCVVaccinationAge,19-35 Months,TX,1736.000000,80.200000,76.500000,83.400000,2012
3dosesPCVVaccinationUrbanicity,Living In A Non MSA,VT,150.000000,92.700000,87.100000,96.000000,2010
4dosesPCVVaccinationAge,19 Months,RI,249.000000,85.300000,79.600000,89.600000,2017
3dosesPCVVaccinationVFCProgramProvider,Participating,WA,214.000000,92.500000,85.600000,96.200000,2014
