Dose,Category,Location,Denominator,Coverage,Lower CI,Higher CI,Year
RotavirusVaccinationAge,7 Months,MS,247.000000,75.600000,68.500000,81.600000,2017
RotavirusVaccinationPoverty,Living At or Above Poverty,WI,273.000000,45.100000,38.500000,52.000000,2009
RotavirusVaccinationAge,19-35 Months,OR,296.000000,66.100000,59.200000,72.500000,2012
RotavirusVaccinationVFCProgramProvider,Participating,AZ,252.000000,61.900000,54.400000,68.800000,2010
RotavirusVaccinationPoverty,Living Below Poverty,OH,91.000000,57.400000,43.700000,70.000000,2012
RotavirusVaccinationAge,19-35 Months,PA,575.000000,74.300000,68.000000,79.800000,2015
RotavirusVaccinationUrbanicity,Living in an MSA Noncentral City,FL,126.000000,70.500000,58.300000,80.300000,2017
RotavirusVaccinationWIC,Not Participating ,PA,370.000000,84.000000,78.400000,88.300000,2011
RotavirusVaccinationFacilityType,Mixed,SD,62.000000,56.500000,41.700000,70.200000,2010
RotavirusVaccinationPoverty,Living At or Above Poverty,MI,297.000000,69.600000,61.100000,77.000000,2011
RotavirusVaccinationWIC,Not Participating ,GA,157.000000,78.100000,68.500000,85.400000,2017
RotavirusVaccinationPoverty,Living At or Above Poverty,TX,851.000000,66.800000,61.000000,72.200000,2010
RotavirusVaccinationWIC,Not Participating ,OK,93.000000,71.000000,58.200000,81.100000,2015
RotavirusVaccinationFacilityType,Mixed,NH,40.000000,78.900000,62.100000,89.500000,2012
RotavirusVaccinationAge,7 Months,WV,213.000000,68.400000,60.100000,75.600000,2013
RotavirusVaccinationWIC,Participating,MD,83.000000,75.900000,62.200000,85.700000,2013
RotavirusVaccinationVFCProgramProvider,Participating,ID,264.000000,70.000000,62.200000,76.700000,2012
RotavirusVaccinationAge,19-35 Months,ME,260.000000,75.600000,69.700000,80.700000,2016
RotavirusVaccinationUrbanicity,Living In A Non MSA,IL,40.000000,56.200000,36.500000,74.100000,2013
RotavirusVaccinationUrbanicity,Living In An MSA Central City,IL,471.000000,67.900000,59.900000,74.900000,2011
RotavirusVaccinationAge,19-35 Months,MN,289.000000,82.600000,76.500000,87.400000,2015
RotavirusVaccinationFacilityType,Mixed,WV,62.000000,45.100000,32.300000,58.600000,2010
RotavirusVaccinationVFCProgramProvider,Participating,OR,291.000000,31.200000,25.200000,37.800000,2009
RotavirusVaccinationAge,19 Months,MN,195.000000,80.300000,72.500000,86.300000,2013
RotavirusVaccinationWIC,Participating,IA,98.000000,74.100000,62.900000,82.900000,2017
RotavirusVaccinationWIC,Not Participating ,MN,130.000000,85.000000,75.000000,91.500000,2013
RotavirusVaccinationWIC,Not Participating ,WY,175.000000,79.300000,71.800000,85.200000,2017
RotavirusVaccinationPoverty,Living Below Poverty,CA,70.000000,60.400000,45.100000,73.900000,2013
RotavirusVaccinationWIC,Participating,DE,132.000000,83.400000,75.200000,89.300000,2010
RotavirusVaccinationUrbanicity,Living in an MSA Noncentral City,IL,217.000000,60.300000,51.900000,68.200000,2010
RotavirusVaccinationPoverty,Living At or Above Poverty,NE,189.000000,78.900000,71.400000,84.800000,2013
RotavirusVaccinationRaceEthnicity,Hispanic,VA,34.000000,81.100000,50.300000,94.800000,2013
RotavirusVaccinationAge,19-35 Months,DC,355.000000,39.300000,32.500000,46.600000,2009
RotavirusVaccinationPoverty,Living At or Above Poverty,LA,147.000000,67.100000,57.300000,75.700000,2016
RotavirusVaccinationAge,24 Months,MA,270.000000,82.400000,76.100000,87.300000,2012
RotavirusVaccinationUrbanicity,Living In A Non MSA,ID,104.000000,48.300000,35.400000,61.500000,2011
RotavirusVaccinationUrbanicity,Living In A Non MSA,KY,130.000000,58.500000,47.600000,68.600000,2012
RotavirusVaccinationUrbanicity,Living In A Non MSA,SD,146.000000,74.700000,65.200000,82.300000,2016
RotavirusVaccinationUrbanicity,Living In A Non MSA,IN,50.000000,52.400000,35.200000,68.900000,2009
RotavirusVaccinationAge,7 Months,IA,214.000000,74.700000,65.700000,82.000000,2013
RotavirusVaccinationUrbanicity,Living In A Non MSA,SC,36.000000,65.300000,45.000000,81.300000,2015
RotavirusVaccinationAge,7 Months,NY,543.000000,74.300000,69.600000,78.500000,2017
RotavirusVaccinationFacilityType,Other,PA,163.000000,74.600000,60.200000,85.000000,2017
RotavirusVaccinationFacilityType,Mixed,CO,45.000000,55.000000,36.800000,72.000000,2014
RotavirusVaccinationRaceEthnicity,Hispanic,WA,52.000000,57.400000,40.300000,73.000000,2012
RotavirusVaccinationRaceEthnicity,White only  non-Hispanic,FL,148.000000,71.000000,58.400000,81.000000,2017
RotavirusVaccinationUrbanicity,Living in an MSA Noncentral City,ID,80.000000,74.100000,58.800000,85.200000,2012
RotavirusVaccinationFacilityType,Other,CA,40.000000,67.300000,42.400000,85.200000,2013
RotavirusVaccinationPoverty,Living At or Above Poverty,GA,167.000000,73.100000,61.700000,82.200000,2014
RotavirusVaccinationRaceEthnicity,White only  non-Hispanic,WV,342.000000,61.100000,54.500000,67.300000,2011
