Dose,Category,Location,Denominator,Coverage,Lower CI,Higher CI,Year
1doseVaricellaVaccinationWIC,Not Participating ,GA,114.000000,89.200000,77.600000,95.200000,2014
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,MA,247.000000,95.500000,91.700000,97.600000,2015
1doseVaricellaVaccinationWIC,Not Participating ,AK,117.000000,72.200000,60.500000,81.500000,2008
1doseVaricellaVaccinationFacilityType,Public,MO,53.000000,80.400000,66.800000,89.300000,2003
1doseVaricellaVaccinationAge,19 Months,AL,166.000000,91.800000,84.700000,95.800000,2013
1doseVaricellaVaccinationFacilityType,Public,AR,73.000000,96.900000,87.600000,99.300000,2011
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,NE,210.000000,90.200000,84.300000,94.000000,2012
1doseVaricellaVaccinationAge,24 Months,ND,273.000000,70.900000,64.500000,76.700000,2003
1doseVaricellaVaccinationAge,19-35 Months,WY,259.000000,84.600000,79.400000,88.600000,2008
1doseVaricellaVaccinationFacilityType,Mixed,WI,45.000000,96.500000,85.900000,99.200000,2009
1doseVaricellaVaccinationWIC,Not Participating ,OH,154.000000,87.300000,79.500000,92.400000,2017
1doseVaricellaVaccinationFacilityType,Private,MT,120.000000,81.500000,72.100000,88.200000,2007
1doseVaricellaVaccinationFacilityType,Other,AZ,136.000000,51.100000,41.500000,60.700000,1999
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,TX,344.000000,83.900000,76.500000,89.300000,2001
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,KS,123.000000,92.000000,81.700000,96.700000,2011
1doseVaricellaVaccinationAge,19 Months,IA,266.000000,87.700000,82.000000,91.800000,2009
1doseVaricellaVaccinationFacilityType,Private,TN,183.000000,96.200000,92.100000,98.200000,2010
1doseVaricellaVaccinationAge,13 Months,NC,269.000000,63.500000,54.900000,71.300000,2014
1doseVaricellaVaccinationUrbanicity,Living In An MSA Central City,OH,98.000000,93.200000,84.300000,97.200000,2007
1doseVaricellaVaccinationVFCProgramProvider,Participating,SD,296.000000,91.700000,87.400000,94.600000,2008
1doseVaricellaVaccinationAge,19-35 Months,NY,521.000000,87.300000,83.700000,90.200000,2003
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,GA,314.000000,77.500000,70.200000,83.500000,2000
1doseVaricellaVaccinationFacilityType,Public,VA,33.000000,67.100000,46.600000,82.600000,2002
1doseVaricellaVaccinationUrbanicity,Living In An MSA Central City,IA,56.000000,78.700000,62.300000,89.300000,2014
1doseVaricellaVaccinationAge,19-35 Months,CO,264.000000,87.600000,82.100000,91.600000,2017
1doseVaricellaVaccinationWIC,Participating,WA,208.000000,77.600000,70.200000,83.600000,2004
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,MA,205.000000,89.900000,83.500000,94.000000,2012
1doseVaricellaVaccinationFacilityType,Private,AZ,167.000000,84.000000,74.000000,90.700000,2012
1doseVaricellaVaccinationAge,19 Months,NE,316.000000,87.800000,82.900000,91.500000,2008
1doseVaricellaVaccinationWIC,Not Participating ,CT,209.000000,93.200000,88.200000,96.100000,2003
1doseVaricellaVaccinationUrbanicity,Living In An MSA Central City,FL,556.000000,77.800000,71.800000,82.800000,2001
1doseVaricellaVaccinationAge,19 Months,VT,324.000000,33.900000,28.400000,39.800000,1998
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,KS,171.000000,94.100000,88.900000,97.000000,2009
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,GA,222.000000,92.300000,88.200000,95.000000,2008
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,KY,216.000000,63.400000,55.900000,70.300000,1999
1doseVaricellaVaccinationRaceEthnicity,Hispanic,RI,35.000000,93.200000,74.000000,98.500000,2010
1doseVaricellaVaccinationPoverty,Unknown poverty,FL,90.000000,86.100000,74.600000,92.900000,2002
1doseVaricellaVaccinationVFCProgramProvider,Participating,MD,412.000000,91.700000,84.900000,95.600000,2009
1doseVaricellaVaccinationRaceEthnicity,Hispanic,CA,538.000000,73.800000,68.200000,78.700000,1999
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,NJ,131.000000,93.700000,87.700000,96.800000,2012
1doseVaricellaVaccinationRaceEthnicity,Hispanic,OR,241.000000,72.600000,66.100000,78.200000,2002
1doseVaricellaVaccinationUrbanicity,Living In A Non MSA,ID,64.000000,80.700000,66.500000,89.800000,2017
1doseVaricellaVaccinationAge,13 Months,AZ,592.000000,48.300000,43.600000,53.000000,2001
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,KS,208.000000,29.800000,23.500000,37.100000,1997
1doseVaricellaVaccinationAge,24 Months,GA,297.000000,90.700000,85.300000,94.300000,2009
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,LA,219.000000,35.900000,29.000000,43.500000,1998
1doseVaricellaVaccinationUrbanicity,Living In A Non MSA,GA,54.000000,93.200000,80.100000,97.900000,2006
1doseVaricellaVaccinationUrbanicity,Living In An MSA Central City,PA,365.000000,94.200000,90.700000,96.500000,2011
1doseVaricellaVaccinationWIC,Participating,MS,151.000000,91.400000,85.200000,95.100000,2017
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,ME,94.000000,88.400000,79.400000,93.700000,2005
1doseVaricellaVaccinationAge,19 Months,DC,296.000000,83.900000,77.100000,88.900000,2005
1doseVaricellaVaccinationRaceEthnicity,Black only  non-Hispanic,MS,75.000000,87.400000,73.400000,94.600000,2007
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,MT,244.000000,83.100000,74.400000,89.300000,2011
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,OK,135.000000,82.200000,73.200000,88.600000,2013
1doseVaricellaVaccinationFacilityType,Other,IL,92.000000,94.500000,86.400000,97.900000,2016
1doseVaricellaVaccinationWIC,Not Participating ,MN,120.000000,90.000000,82.500000,94.500000,2005
1doseVaricellaVaccinationVFCProgramProvider,Participating,ND,229.000000,90.700000,83.700000,94.900000,2011
1doseVaricellaVaccinationAge,19-35 Months,CT,250.000000,96.800000,93.400000,98.500000,2015
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,NM,145.000000,86.900000,79.200000,92.000000,2005
1doseVaricellaVaccinationWIC,Not Participating ,AL,74.000000,91.400000,74.200000,97.500000,2013
1doseVaricellaVaccinationAge,24 Months,AK,222.000000,78.800000,72.100000,84.300000,2007
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,VT,72.000000,79.900000,68.600000,87.800000,2008
1doseVaricellaVaccinationFacilityType,Other,SC,84.000000,91.900000,82.700000,96.400000,2006
1doseVaricellaVaccinationVFCProgramProvider,Not Participating ,MD,60.000000,90.300000,63.100000,98.100000,2016
1doseVaricellaVaccinationPoverty,Living Below Poverty,AR,87.000000,87.300000,74.900000,94.100000,2010
1doseVaricellaVaccinationAge,19 Months,NH,199.000000,91.400000,85.700000,95.000000,2007
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,NH,188.000000,93.600000,87.600000,96.900000,2013
1doseVaricellaVaccinationAge,19-35 Months,MA,567.000000,89.100000,84.000000,92.700000,2003
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,CO,269.000000,86.200000,79.100000,91.100000,2005
1doseVaricellaVaccinationPoverty,Living Below Poverty,MT,55.000000,77.300000,63.500000,86.900000,2003
1doseVaricellaVaccinationRaceEthnicity,Hispanic,OK,52.000000,94.600000,82.800000,98.400000,2006
1doseVaricellaVaccinationAge,13 Months,PA,562.000000,58.800000,53.100000,64.200000,2010
1doseVaricellaVaccinationWIC,Participating,WI,101.000000,92.500000,83.700000,96.700000,2015
1doseVaricellaVaccinationAge,19 Months,NC,287.000000,6.800000,4.600000,10.000000,1996
1doseVaricellaVaccinationFacilityType,Other,MN,85.000000,90.500000,80.400000,95.600000,2015
1doseVaricellaVaccinationVFCProgramProvider,Not Participating ,IL,121.000000,91.500000,81.800000,96.200000,2017
1doseVaricellaVaccinationUrbanicity,Living In An MSA Central City,IL,328.000000,68.000000,59.600000,75.400000,2001
1doseVaricellaVaccinationAge,19 Months,IN,562.000000,59.900000,54.300000,65.300000,2001
1doseVaricellaVaccinationAge,19 Months,MT,295.000000,62.800000,56.300000,68.800000,2001
1doseVaricellaVaccinationAge,19-35 Months,KS,271.000000,65.600000,58.100000,72.500000,2001
1doseVaricellaVaccinationAge,19 Months,CT,279.000000,90.900000,86.700000,93.900000,2003
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,AZ,311.000000,83.800000,78.200000,88.200000,2005
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,OR,118.000000,89.800000,82.000000,94.500000,2015
1doseVaricellaVaccinationRaceEthnicity,Black only  non-Hispanic,NJ,152.000000,87.300000,67.900000,95.700000,2004
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,HI,76.000000,32.600000,21.100000,46.700000,1997
1doseVaricellaVaccinationUrbanicity,Living In An MSA Central City,NM,128.000000,89.600000,81.300000,94.500000,2008
1doseVaricellaVaccinationVFCProgramProvider,Participating,DE,272.000000,86.300000,81.400000,90.100000,2002
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,MS,93.000000,89.100000,80.100000,94.300000,2013
1doseVaricellaVaccinationAge,13 Months,CT,274.000000,57.600000,50.600000,64.400000,2006
1doseVaricellaVaccinationFacilityType,Private,WA,151.000000,90.800000,82.900000,95.300000,2016
1doseVaricellaVaccinationWIC,Participating,LA,154.000000,89.300000,81.400000,94.100000,2017
1doseVaricellaVaccinationRaceEthnicity,Hispanic,AZ,197.000000,43.700000,36.200000,51.500000,1998
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,KY,65.000000,97.800000,85.600000,99.700000,2016
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,OK,74.000000,90.900000,82.000000,95.600000,2016
1doseVaricellaVaccinationUrbanicity,Living In A Non MSA,NV,41.000000,35.500000,21.800000,52.100000,1998
1doseVaricellaVaccinationFacilityType,Public,MI,46.000000,97.100000,89.700000,99.200000,2005
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,CO,156.000000,89.500000,82.000000,94.100000,2005
1doseVaricellaVaccinationPoverty,Living Below Poverty,TN,198.000000,34.900000,26.800000,44.000000,1998
1doseVaricellaVaccinationWIC,Participating,AZ,116.000000,88.700000,78.600000,94.400000,2016
1doseVaricellaVaccinationAge,19-35 Months,TX,1422.000000,90.800000,88.400000,92.800000,2006
1doseVaricellaVaccinationWIC,Not Participating ,KY,99.000000,92.300000,82.200000,96.900000,2014
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,VA,198.000000,51.400000,43.900000,58.900000,1998
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,TN,194.000000,94.900000,89.500000,97.600000,2010
1doseVaricellaVaccinationRaceEthnicity,Asian only  non-Hispanic,TX,79.000000,88.700000,73.100000,95.700000,2011
1doseVaricellaVaccinationFacilityType,Private,MS,161.000000,91.300000,84.800000,95.200000,2009
1doseVaricellaVaccinationRaceEthnicity,Hispanic,NV,95.000000,89.100000,81.100000,94.000000,2009
1doseVaricellaVaccinationPoverty,Living Below Poverty,AZ,73.000000,92.900000,84.100000,97.000000,2008
1doseVaricellaVaccinationAge,24 Months,AL,237.000000,88.200000,79.500000,93.600000,2014
1doseVaricellaVaccinationAge,19 Months,WY,321.000000,25.100000,20.300000,30.500000,1998
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,DE,104.000000,90.500000,82.700000,95.000000,2016
1doseVaricellaVaccinationAge,24 Months,IL,562.000000,67.700000,62.500000,72.600000,2002
1doseVaricellaVaccinationFacilityType,Other,AR,64.000000,73.100000,59.400000,83.500000,2001
1doseVaricellaVaccinationUrbanicity,Living In A Non MSA,LA,31.000000,95.700000,75.000000,99.400000,2015
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,IA,162.000000,88.100000,80.200000,93.200000,2014
1doseVaricellaVaccinationFacilityType,Public,WY,34.000000,80.700000,60.100000,92.100000,2006
1doseVaricellaVaccinationFacilityType,Mixed,NE,33.000000,90.000000,73.000000,96.700000,2009
1doseVaricellaVaccinationUrbanicity,Living In A Non MSA,WI,72.000000,79.800000,66.200000,88.900000,2006
1doseVaricellaVaccinationPoverty,Living Below Poverty,KY,62.000000,92.900000,81.100000,97.600000,2006
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,IN,234.000000,89.500000,82.500000,93.900000,2014
1doseVaricellaVaccinationAge,13 Months,VA,394.000000,52.600000,44.700000,60.400000,2011
