dose,category,location,year,coverage,low,high,size
2 doses Hepatitis A Vaccination - Race/Ethnicity,Multiple Races  non-Hispanic,Region  7,2011,50.100000,31.500000,68.700000,63.000000
2 doses Hepatitis A Vaccination - WIC,Participating,PA-Philadelphia,2010,54.000000,45.000000,62.800000,178.000000
2 doses Hepatitis A Vaccination - Facility Type,Other,Alabama,2012,56.300000,46.700000,65.400000,163.000000
2 doses Hepatitis A Vaccination - Urbanicity,Living In An MSA Central City,Region  1,2007,9.200000,5.700000,14.500000,223.000000
1 dose Hepatitis A Vaccination - Race/Ethnicity,Multiple Races  non-Hispanic,Region  7,2009,83.000000,66.800000,92.300000,43.000000
2 doses Hepatitis A Vaccination - Urbanicity,Living In A Non MSA,Iowa,2011,42.000000,31.700000,53.000000,125.000000
1 dose Hepatitis A Vaccination - Facility Type,Other,Kansas,2016,94.100000,78.300000,98.600000,31.000000
2 doses Hepatitis A Vaccination - Facility Type,Public,Region  5,2010,43.500000,35.600000,51.700000,245.000000
2 doses Hepatitis A Vaccination - Facility Type,Private,Washington,2011,50.600000,41.300000,59.900000,177.000000
2 doses Hepatitis A Vaccination - Facility Type,Private,Wisconsin,2010,58.700000,48.300000,68.300000,129.000000
1 dose Hepatitis A Vaccination - Facility Type,Public,TX-El Paso County,2012,90.200000,82.100000,94.900000,149.000000
1 dose Hepatitis A Vaccination - Urbanicity,Living in an MSA Noncentral City,Nevada,2016,88.600000,68.200000,96.600000,36.000000
1 dose Hepatitis A Vaccination - Facility Type,Multiple Races  non-Hispanic,Florida,2008,63.700000,54.100000,72.300000,313.000000
1 dose Hepatitis A Vaccination - WIC,Participating,Indiana,2014,81.500000,72.300000,88.100000,156.000000
2 doses Hepatitis A Vaccination - Facility Type,Other,South Dakota,2012,40.100000,29.400000,51.800000,95.000000
1 dose Hepatitis A Vaccination - Facility Type,Private,Georgia,2007,40.300000,32.500000,48.500000,262.000000
1 dose Hepatitis A Vaccination - Facility Type,Public,Massachusetts,2011,75.000000,67.300000,81.400000,261.000000
1 dose Hepatitis A Vaccination - Poverty,Multiple Races  non-Hispanic,IL-Rest of State,2013,74.800000,66.900000,81.300000,197.000000
1 dose Hepatitis A Vaccination - WIC,Participating,North Carolina,2010,78.200000,69.700000,84.800000,124.000000
1 dose Hepatitis A Vaccination - Facility Type,Public,North Carolina,2014,90.800000,84.000000,94.900000,188.000000
1 dose Hepatitis A Vaccination - WIC,Participating,Oregon,2007,65.000000,53.500000,74.900000,97.000000
1 dose Hepatitis A Vaccination - Facility Type,Other,Maine,2009,40.300000,27.500000,54.500000,63.000000
1 dose Hepatitis A Vaccination - Poverty,Black only  non-Hispanic,Pennsylvania,2007,56.800000,43.500000,69.200000,102.000000
1 dose Hepatitis A Vaccination - Poverty,Living Below Poverty,Washington,2015,94.600000,82.400000,98.500000,50.000000
2 doses Hepatitis A Vaccination - Poverty,Unknown poverty,Region  4,2011,46.200000,34.500000,58.400000,113.000000
2 doses Hepatitis A Vaccination - Urbanicity,Living in an MSA Noncentral City,TX-Bexar County,2008,52.800000,44.800000,60.600000,260.000000
2 doses Hepatitis A Vaccination - WIC,Participating,TX-Rest of State,2011,61.900000,52.500000,70.400000,198.000000
2 doses Hepatitis A Vaccination - VFC Program Provider,Not Participating ,Region  5,2014,59.800000,50.800000,68.200000,235.000000
1 dose Hepatitis A Vaccination - Urbanicity,Living in an MSA Noncentral City,Idaho,2011,91.200000,78.400000,96.800000,89.000000
1 dose Hepatitis A Vaccination - Facility Type,Asian only  non-Hispanic,Idaho,2010,75.000000,68.200000,80.800000,222.000000
1 dose Hepatitis A Vaccination - Poverty,Living At or Above Poverty,Arkansas,2017,87.100000,78.400000,92.600000,168.000000
1 dose Hepatitis A Vaccination - Facility Type,Native Hawaiian or other Pacific Islander only  non-Hispanic,Maryland,2014,89.300000,78.800000,94.900000,158.000000
1 dose Hepatitis A Vaccination - WIC,Participating,TX-Rest of State,2015,91.200000,86.700000,94.300000,350.000000
2 doses Hepatitis A Vaccination - Facility Type,Other,Nebraska,2012,57.400000,42.400000,71.200000,60.000000
2 doses Hepatitis A Vaccination - Poverty,Black only  non-Hispanic,California,2013,56.200000,43.900000,67.800000,104.000000
1 dose Hepatitis A Vaccination - Age,19-35 Months,District of Columbia,2006,10.100000,7.000000,14.200000,311.000000
2 doses Hepatitis A Vaccination - Age,19-35 Months,Maine,2014,62.100000,54.300000,69.200000,239.000000
1 dose Hepatitis A Vaccination - Race/Ethnicity,Multiple Races  non-Hispanic,United States,2017,86.900000,83.000000,90.000000,1106.000000
1 dose Hepatitis A Vaccination - Facility Type,Other,Alaska,2013,91.400000,81.300000,96.300000,38.000000
