dose,category,location,year,coverage,low,high,size
申1 dose Polio Vaccination - Age,Living In An MSA Central City,CO-Rest of State,2008,96.200000,90.200000,98.600000,132.000000
申3 doses Polio Vaccination - VFC Program Provider,Participating,Idaho,2011,95.800000,91.600000,97.900000,259.000000
申3 doses Polio Vaccination - Poverty,Living At or Above Poverty,Region  6,2012,93.200000,90.700000,95.100000,1719.000000
申3 doses Polio Vaccination - VFC Program Provider,Participating,NY-Rest of State,2002,96.500000,91.400000,98.600000,192.000000
申2 doses Polio Vaccination - Age,13 Months,NY-City of New York,1997,94.800000,89.800000,97.400000,239.000000
申1 dose Polio Vaccination - Age,Not Participating,FL-Duval County,2006,94.300000,89.800000,96.900000,202.000000
申2 doses Polio Vaccination - Age,5 Months,IL-Rest of State,2011,78.700000,72.300000,84.000000,351.000000
申3 doses Polio Vaccination - WIC,Not Participating,Maine,2008,96.800000,92.200000,98.700000,166.000000
申3 doses Polio Vaccination - Age,19 Months,Region  3,1995,68.300000,64.800000,71.600000,1579.000000
申1 dose Polio Vaccination - Age,3 Months,Kansas,2016,87.900000,81.700000,92.200000,207.000000
申3 doses Polio Vaccination - Urbanicity,Living In An MSA Central City,Iowa,2012,93.400000,86.700000,96.900000,99.000000
申1 dose Polio Vaccination - Age,3 Months,NJ-Rest of State,2001,89.100000,81.800000,93.700000,230.000000
申1 dose Polio Vaccination - Age,3 Months,PA-Rest of State,2001,90.900000,86.600000,94.000000,286.000000
申3 doses Polio Vaccination - Age,19-35 Months,California,1997,89.600000,87.000000,91.800000,1104.000000
申1 dose Polio Vaccination - Age,Participating,MI-City of Detroit,2005,88.300000,78.500000,94.000000,133.000000
申3 doses Polio Vaccination - WIC,Not Participating,Wyoming,2006,88.300000,80.900000,93.100000,169.000000
申3 doses Polio Vaccination - Poverty,Unknown poverty,Region  3,2008,96.800000,91.700000,98.800000,112.000000
申2 doses Polio Vaccination - Age,7 Months,North Dakota,2006,91.600000,86.400000,94.900000,322.000000
申1 dose Polio Vaccination - Age,Living in an MSA Noncentral City,GA-Fulton/DeKalb Counties,2005,78.700000,64.900000,88.000000,127.000000
申1 dose Polio Vaccination - Age,Living In A Non MSA,AZ-Rest of State,2006,86.700000,73.200000,94.000000,60.000000
