dose,category,location,year,coverage,low,high,size
otavirus Vaccination - Facility Type,Mixed,New Hampshire,2012,78.900000,62.100000,89.500000,40.000000
otavirus Vaccination - Facility Type,Mixed,Delaware,2016,79.300000,61.100000,90.300000,46.000000
otavirus Vaccination - Age,19-35 Months,IL-City of Chicago,2016,77.100000,65.200000,85.800000,131.000000
otavirus Vaccination - Urbanicity,Living in an MSA Noncentral City,Kentucky,2015,66.100000,50.300000,78.900000,61.000000
otavirus Vaccination - Urbanicity,Participating,NY-City of New York,2009,41.200000,33.200000,49.800000,184.000000
otavirus Vaccination - WIC,Participating,Arizona,2010,56.900000,47.400000,65.900000,142.000000
otavirus Vaccination - WIC,Not Participating ,Illinois,2015,75.900000,69.000000,81.700000,322.000000
otavirus Vaccination - Facility Type,Private,Region  9,2012,73.500000,66.200000,79.700000,721.000000
otavirus Vaccination - Urbanicity,Living In A Non MSA,Kansas,2011,70.700000,58.300000,80.600000,126.000000
otavirus Vaccination - Age,19 Months,Kentucky,2012,69.000000,62.300000,75.100000,302.000000
otavirus Vaccination - Urbanicity,Living in an MSA Noncentral City,West Virginia,2013,61.400000,47.000000,74.100000,77.000000
otavirus Vaccination - Facility Type,Other,South Carolina,2010,60.300000,41.500000,76.500000,43.000000
otavirus Vaccination - Facility Type,Mixed,Texas,2009,41.100000,29.200000,54.300000,176.000000
otavirus Vaccination - Urbanicity,Living in an MSA Noncentral City,New Hampshire,2012,85.300000,76.300000,91.300000,115.000000
otavirus Vaccination - Age,24 Months,Missouri,2015,76.100000,68.500000,82.400000,226.000000
otavirus Vaccination - Urbanicity,Living In An MSA Central City,Idaho,2012,63.200000,49.900000,74.800000,97.000000
otavirus Vaccination - VFC Program Provider,Not Participating ,Louisiana,2014,81.400000,61.000000,92.500000,40.000000
otavirus Vaccination - Age,7 Months,Region  4,2016,73.700000,70.500000,76.700000,2064.000000
otavirus Vaccination - Urbanicity,Living In A Non MSA,Tennessee,2009,51.000000,38.000000,63.800000,73.000000
