Location,Population 1-17,Population 1-17 CI,State Flow In,State Flow In CI,Int. Flow In, Int. Flow In CI,State Flow Out,State Flow Out CI
MS,663900,13991,13711,9508,1320,1526,15322,9712
OK,895361,9684,24487,9682,2971,1787,23714,12219
WY,127320,3805,6077,3491,378,442,6649,3852
MN,1212226,11861,17761,8642,6416,3316,16307,9015
IL,2861727,18453,34622,12868,11888,4798,53111,17254
AR,658298,12713,16043,9172,2099,1978,15473,9246
NM,469103,6431,10803,4872,1689,1424,13852,5978
IN,1507366,20531,27095,13957,4211,3563,27050,14199
MD,1278952,8328,27554,8225,10801,4179,29198,8919
LA,1045961,14508,18451,9458,2558,2420,21595,11796
TX,6631145,53519,119237,38183,44960,16879,85696,28204
WI,1243834,12075,18968,9348,4104,2919,17004,8528
IA,682235,13007,14472,8650,2799,2356,13861,9414
AZ,1536660,6459,42218,7982,6639,2222,41571,7916
MI,2137856,15513,26573,11659,9088,4436,29523,13923
KS,663588,10366,19996,8800,2633,2258,19073,8758
UT,846334,5498,21886,6666,2855,1438,18961,6071
VA,1727670,26456,50368,19857,14282,7577,46640,19956
OR,812962,8291,20650,8322,3770,2386,19316,8421
CT,749931,3647,13756,3689,5543,2032,12445,3582
NY,4029172,20864,33759,13591,27552,9132,69095,20989
NH,259606,2517,6667,2591,1047,843,5389,2394
MA,1323586,6322,18275,5464,10676,3558,19899,6167
PR,645370,6436,4469,4365,714,697,19863,12629
SC,1024826,12655,28525,11061,3569,2984,24427,10453
CA,8709068,28425,83918,21397,52944,13529,103005,23241
VT,117581,2032,2353,1363,488,386,2628,1881
GA,2322326,33310,61376,26170,10478,7382,54321,23235
ND,145900,4583,6569,3469,601,539,4801,2726
HI,290722,1665,11001,2051,2854,1062,13850,2381
PA,2585895,16249,37450,14664,12328,6510,38124,16184
WV,350021,8367,7949,5144,387,567,9479,6266
FL,3831634,26721,92867,27651,33844,11588,80406,25150
AK,175188,2581,7498,2607,839,596,17748,5177
KY,939583,19648,22714,12499,3038,2366,22168,12839
RI,204476,1592,3951,1449,1118,572,5377,2025
NE,424363,7289,10091,5364,1627,1160,9348,4413
MO,1326213,19821,29382,14696,3929,2848,29277,14535
OH,2526879,22190,39131,16743,8202,5251,33424,15782
AL,1031647,14646,21398,10757,2993,2730,21100,11039
SD,185630,5411,4515,3084,628,679,5706,4032
CO,1169229,11516,38109,11293,6861,3432,31317,10882
ID,403787,6766,13806,6835,1261,1150,12011,6006
NJ,1924919,9207,25773,8630,12198,4921,31918,10767
WA,1512284,11008,42059,11473,11029,4734,35610,11358
NC,2147455,25119,53670,20255,8451,5608,50529,20902
TN,1405378,20736,37243,17383,5576,3896,33569,14815
MT,204391,5278,6885,4259,568,608,5369,3528
DC,102511,695,3272,658,1265,429,7425,1068
NV,626605,4167,24724,5072,2376,836,22308,4237
DE,193661,1355,5678,1772,648,393,4884,1529
ME,249824,3483,4899,2452,1024,754,4937,2758
