Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 45 through 47.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Table 1.  State-to-State Migration Flows1: 2017;;;;;;;;;;;Table 1.  State-to-State Migration Flows1: 2017;;;;;;;;;;;Table 1.  State-to-State Migration Flows1: 2017;;;;;;;;;;;Table 1.  State-to-State Migration Flows1: 2017;;;;;;;;;;;Table 1.  State-to-State Migration Flows1: 2017;;;;;;;;;;;Table 1.  State-to-State Migration Flows1: 2017;;;;;;;;;;;Table 1.  State-to-State Migration Flows1: 2017;;;;;;;;;;;Table 1.  State-to-State Migration Flows1: 2017;;;;;;;;;;;Table 1.  State-to-State Migration Flows1: 2017;;;;;;;;;;;Table 1.  State-to-State Migration Flows1: 2017;;;;;;;;;;;Table 1.  State-to-State Migration Flows1: 2017;;;;;;;;;;;Table 1.  State-to-State Migration Flows1: 2017;;;;;;;;
Dataset: 2017 American Community Survey 1-Year Estimates;;;;;;;;;;;Dataset: 2017 American Community Survey 1-Year Estimates;;;;;;;;;;;Dataset: 2017 American Community Survey 1-Year Estimates;;;;;;;;;;;Dataset: 2017 American Community Survey 1-Year Estimates;;;;;;;;;;;Dataset: 2017 American Community Survey 1-Year Estimates;;;;;;;;;;;Dataset: 2017 American Community Survey 1-Year Estimates;;;;;;;;;;;Dataset: 2017 American Community Survey 1-Year Estimates;;;;;;;;;;;Dataset: 2017 American Community Survey 1-Year Estimates;;;;;;;;;;;Dataset: 2017 American Community Survey 1-Year Estimates;;;;;;;;;;;Dataset: 2017 American Community Survey 1-Year Estimates;;;;;;;;;;;Dataset: 2017 American Community Survey 1-Year Estimates;;;;;;;;;;;Dataset: 2017 American Community Survey 1-Year Estimates;;;;;;;;
Universe: Population 1 year and over;;;;;;;;;;;Universe: Population 1 year and over;;;;;;;;;;;Universe: Population 1 year and over;;;;;;;;;;;Universe: Population 1 year and over;;;;;;;;;;;Universe: Population 1 year and over;;;;;;;;;;;Universe: Population 1 year and over;;;;;;;;;;;Universe: Population 1 year and over;;;;;;;;;;;Universe: Population 1 year and over;;;;;;;;;;;Universe: Population 1 year and over;;;;;;;;;;;Universe: Population 1 year and over;;;;;;;;;;;Universe: Population 1 year and over;;;;;;;;;;;Universe: Population 1 year and over;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Current residence in --;Population 1 year and over;;Same house 1 year ago;;Same state of residence 1 year ago;;Different state of residence 1 year ago;;;;Current residence in --;Different state of residence 1 year ago (continued);;;;;;;;;;Current residence in --;Different state of residence 1 year ago (continued);;;;;;;;;;Current residence in --;Different state of residence 1 year ago (continued);;;;;;;;;;Current residence in --;Different state of residence 1 year ago (continued);;;;;;;;;;Current residence in --;Different state of residence 1 year ago (continued);;;;;;;;;;Current residence in --;Different state of residence 1 year ago (continued);;;;;;;;;;Current residence in --;Different state of residence 1 year ago (continued);;;;;;;;;;Current residence in --;Different state of residence 1 year ago (continued);;;;;;;;;;Current residence in --;Different state of residence 1 year ago (continued);;;;;;;;;;Current residence in --;Different state of residence 1 year ago (continued);;;;;;;;;;Current residence in --;Abroad 1 year ago--;;;;;;;
;;;;;;;Total;;Alabama;;;Alaska;;Arizona;;Arkansas;;California;;Colorado;;;Connecticut;;Delaware;;District of Columbia ;;Florida;;Georgia;;;Hawaii;;Idaho;;Illinois;;Indiana;;Iowa;;;Kansas;;Kentucky;;Louisiana;;Maine;;Maryland;;;Massachusetts;;Michigan;;Minnesota;;Mississippi;;Missouri;;;Montana;;Nebraska;;Nevada;;New Hampshire;;New Jersey;;;New Mexico;;New York;;North Carolina;;North Dakota;;Ohio;;;Oklahoma;;Oregon;;Pennsylvania;;Rhode Island;;South Carolina;;;South Dakota;;Tennessee;;Texas;;Utah;;Vermont;;;Virginia;;Washington;;West Virginia;;Wisconsin;;Wyoming;;;Total;;Puerto Rico;;U.S. Island Area;;Foreign Country4;
;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE;;Estimate;MOE;Estimate;MOE;Estimate;MOE;Estimate;MOE
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
United States2;321Ê994Ê428;+/- 33Ê543;275Ê921Ê008;+/- 183Ê767;36Ê468Ê599;+/- 171Ê943;7Ê471Ê493;+/- 70Ê316;101Ê466;+/- 8Ê690;United States2;42Ê972;+/- 5Ê364;163Ê214;+/- 11Ê408;69Ê850;+/- 6Ê892;661Ê026;+/- 18Ê084;194Ê296;+/- 13Ê350;United States2;98Ê971;+/- 7Ê408;35Ê653;+/- 4Ê776;65Ê018;+/- 5Ê748;447Ê586;+/- 18Ê829;254Ê956;+/- 13Ê533;United States2;66Ê597;+/- 6Ê850;56Ê954;+/- 5Ê555;339Ê435;+/- 14Ê683;132Ê094;+/- 8Ê302;79Ê358;+/- 7Ê701;United States2;99Ê660;+/- 7Ê863;99Ê490;+/- 8Ê060;102Ê212;+/- 8Ê836;27Ê425;+/- 3Ê471;183Ê900;+/- 9Ê130;United States2;173Ê033;+/- 9Ê705;148Ê059;+/- 9Ê066;125Ê130;+/- 8Ê352;78Ê043;+/- 8Ê539;153Ê284;+/- 10Ê922;United States2;28Ê012;+/- 3Ê980;47Ê760;+/- 4Ê274;98Ê226;+/- 7Ê925;41Ê740;+/- 4Ê716;224Ê961;+/- 10Ê257;United States2;67Ê296;+/- 6Ê670;452Ê580;+/- 15Ê392;243Ê206;+/- 15Ê186;37Ê344;+/- 4Ê404;206Ê479;+/- 11Ê387;United States2;96Ê005;+/- 8Ê055;109Ê454;+/- 8Ê586;254Ê634;+/- 13Ê485;30Ê166;+/- 4Ê054;128Ê797;+/- 8Ê860;United States2;27Ê412;+/- 3Ê610;155Ê665;+/- 9Ê359;467Ê338;+/- 17Ê666;89Ê721;+/- 7Ê588;20Ê872;+/- 2Ê550;United States2;262Ê563;+/- 13Ê210;198Ê813;+/- 12Ê100;43Ê321;+/- 5Ê304;113Ê492;+/- 10Ê148;25Ê954;+/- 4Ê190;United States2;2Ê133Ê328;+/- 38Ê070;97Ê488;+/- 9Ê821;18Ê321;+/- 3Ê416;2Ê017Ê519;+/- 36Ê251
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alabama;4Ê819Ê343;+/- 3Ê710;4Ê158Ê224;+/- 20Ê321;535Ê649;+/- 18Ê004;111Ê803;+/- 8Ê786;N/A;N/A;Alabama;424;+/- 391;1Ê513;+/- 1Ê198;517;+/- 630;2Ê328;+/- 958;1Ê974;+/- 1Ê054;Alabama;336;+/- 379;22;+/- 42;378;+/- 254;14Ê171;+/- 2Ê012;22Ê363;+/- 3Ê888;Alabama;93;+/- 140;118;+/- 134;2Ê399;+/- 1Ê190;2Ê295;+/- 1Ê387;627;+/- 381;Alabama;646;+/- 508;2Ê157;+/- 948;2Ê308;+/- 1Ê494;56;+/- 88;801;+/- 385;Alabama;450;+/- 373;1Ê821;+/- 725;420;+/- 352;7Ê798;+/- 2Ê365;544;+/- 315;Alabama;247;+/- 349;167;+/- 272;1Ê989;+/- 1Ê076;245;+/- 203;1Ê103;+/- 822;Alabama;1Ê007;+/- 1Ê360;2Ê203;+/- 988;4Ê245;+/- 1Ê672;878;+/- 1Ê209;1Ê702;+/- 859;Alabama;877;+/- 716;444;+/- 681;1Ê595;+/- 682;848;+/- 931;1Ê896;+/- 988;Alabama;96;+/- 177;8Ê018;+/- 2Ê347;8Ê825;+/- 2Ê444;998;+/- 929;0;+/- 200;Alabama;4Ê277;+/- 1Ê530;1Ê289;+/- 862;1Ê070;+/- 1Ê211;1Ê121;+/- 991;104;+/- 193;Alabama;13Ê667;+/- 2Ê273;476;+/- 469;0;+/- 200;13Ê191;+/- 2Ê200
Alaska;730Ê874;+/- 1Ê438;595Ê804;+/- 9Ê147;98Ê168;+/- 8Ê242;30Ê199;+/- 4Ê584;942;+/- 688;Alaska;N/A;N/A;1Ê387;+/- 918;203;+/- 266;3Ê556;+/- 1Ê253;1Ê487;+/- 684;Alaska;0;+/- 153;0;+/- 153;0;+/- 153;906;+/- 530;422;+/- 353;Alaska;424;+/- 385;225;+/- 200;723;+/- 671;186;+/- 205;1Ê083;+/- 1Ê718;Alaska;17;+/- 26;397;+/- 319;327;+/- 339;225;+/- 246;325;+/- 513;Alaska;111;+/- 164;524;+/- 335;1Ê077;+/- 765;172;+/- 134;143;+/- 190;Alaska;156;+/- 217;282;+/- 339;633;+/- 363;0;+/- 153;485;+/- 547;Alaska;64;+/- 91;757;+/- 616;345;+/- 381;103;+/- 105;448;+/- 643;Alaska;373;+/- 476;1Ê232;+/- 620;274;+/- 286;216;+/- 317;270;+/- 208;Alaska;6;+/- 12;544;+/- 385;2Ê165;+/- 1Ê206;465;+/- 461;0;+/- 153;Alaska;360;+/- 259;3Ê653;+/- 1Ê445;0;+/- 153;2Ê500;+/- 2Ê858;6;+/- 13;Alaska;6Ê703;+/- 2Ê197;0;+/- 153;965;+/- 797;5Ê738;+/- 2Ê168
Arizona;6Ê935Ê358;+/- 3Ê888;5Ê717Ê189;+/- 24Ê333;911Ê120;+/- 22Ê690;261Ê727;+/- 11Ê986;1Ê337;+/- 701;Arizona;2Ê255;+/- 857;N/A;N/A;1Ê763;+/- 978;59Ê233;+/- 6Ê519;12Ê810;+/- 3Ê421;Arizona;730;+/- 434;810;+/- 615;362;+/- 288;8Ê522;+/- 2Ê422;5Ê278;+/- 2Ê444;Arizona;2Ê651;+/- 1Ê173;3Ê991;+/- 2Ê179;13Ê095;+/- 3Ê782;3Ê381;+/- 1Ê203;3Ê423;+/- 1Ê194;Arizona;2Ê506;+/- 1Ê035;1Ê708;+/- 1Ê188;2Ê174;+/- 1Ê785;194;+/- 191;1Ê108;+/- 503;Arizona;2Ê382;+/- 1Ê520;5Ê651;+/- 1Ê741;7Ê093;+/- 2Ê146;1Ê261;+/- 809;5Ê195;+/- 1Ê642;Arizona;2Ê436;+/- 1Ê187;1Ê870;+/- 1Ê054;7Ê647;+/- 2Ê655;578;+/- 857;4Ê329;+/- 1Ê754;Arizona;6Ê455;+/- 2Ê078;5Ê674;+/- 1Ê870;4Ê429;+/- 1Ê867;2Ê725;+/- 1Ê056;5Ê095;+/- 1Ê425;Arizona;4Ê856;+/- 1Ê898;10Ê701;+/- 2Ê729;6Ê332;+/- 1Ê901;141;+/- 240;1Ê214;+/- 1Ê004;Arizona;1Ê458;+/- 764;2Ê194;+/- 890;12Ê793;+/- 2Ê170;8Ê594;+/- 3Ê233;96;+/- 144;Arizona;3Ê593;+/- 1Ê166;14Ê392;+/- 3Ê663;318;+/- 402;3Ê897;+/- 1Ê221;997;+/- 910;Arizona;45Ê322;+/- 5Ê364;438;+/- 358;91;+/- 106;44Ê793;+/- 5Ê315
Arkansas;2Ê968Ê395;+/- 3Ê103;2Ê509Ê717;+/- 16Ê654;370Ê309;+/- 15Ê515;79Ê411;+/- 7Ê492;574;+/- 572;Arkansas;241;+/- 349;1Ê060;+/- 600;N/A;N/A;5Ê334;+/- 1Ê766;2Ê547;+/- 1Ê084;Arkansas;0;+/- 201;0;+/- 201;0;+/- 201;1Ê525;+/- 626;1Ê805;+/- 1Ê181;Arkansas;0;+/- 201;582;+/- 521;2Ê252;+/- 891;1Ê810;+/- 1Ê229;176;+/- 141;Arkansas;2Ê021;+/- 898;1Ê222;+/- 850;2Ê867;+/- 1Ê335;0;+/- 201;1Ê425;+/- 1Ê474;Arkansas;97;+/- 193;961;+/- 648;808;+/- 557;4Ê171;+/- 1Ê501;6Ê759;+/- 1Ê817;Arkansas;118;+/- 120;475;+/- 387;439;+/- 638;78;+/- 136;359;+/- 396;Arkansas;414;+/- 432;283;+/- 291;1Ê749;+/- 1Ê207;88;+/- 148;39;+/- 77;Arkansas;7Ê854;+/- 2Ê559;749;+/- 718;2Ê639;+/- 2Ê472;0;+/- 201;487;+/- 481;Arkansas;0;+/- 201;5Ê383;+/- 1Ê750;15Ê767;+/- 3Ê797;657;+/- 661;0;+/- 201;Arkansas;1Ê087;+/- 836;1Ê539;+/- 1Ê193;0;+/- 201;958;+/- 641;12;+/- 25;Arkansas;8Ê958;+/- 2Ê034;573;+/- 602;0;+/- 201;8Ê385;+/- 1Ê955
California;39Ê085Ê984;+/- 10Ê045;34Ê009Ê331;+/- 68Ê358;4Ê234Ê770;+/- 58Ê169;523Ê131;+/- 20Ê053;3Ê715;+/- 1Ê429;California;2Ê606;+/- 777;26Ê907;+/- 4Ê106;3Ê471;+/- 1Ê508;N/A;N/A;25Ê038;+/- 4Ê892;California;5Ê935;+/- 2Ê368;491;+/- 325;6Ê818;+/- 1Ê816;24Ê611;+/- 4Ê231;10Ê233;+/- 2Ê494;California;12Ê776;+/- 2Ê650;5Ê626;+/- 1Ê851;27Ê117;+/- 4Ê064;5Ê190;+/- 1Ê419;4Ê163;+/- 1Ê439;California;5Ê202;+/- 2Ê088;3Ê431;+/- 1Ê448;5Ê169;+/- 1Ê666;2Ê578;+/- 1Ê842;11Ê303;+/- 2Ê985;California;16Ê774;+/- 2Ê692;11Ê538;+/- 3Ê334;7Ê487;+/- 1Ê769;3Ê299;+/- 1Ê175;6Ê841;+/- 1Ê705;California;2Ê809;+/- 1Ê301;2Ê419;+/- 1Ê022;23Ê768;+/- 4Ê238;1Ê216;+/- 557;12Ê906;+/- 2Ê336;California;5Ê312;+/- 1Ê529;34Ê278;+/- 3Ê962;13Ê523;+/- 2Ê862;2Ê223;+/- 1Ê392;11Ê410;+/- 2Ê000;California;4Ê890;+/- 1Ê770;20Ê548;+/- 2Ê993;16Ê141;+/- 2Ê831;1Ê763;+/- 703;7Ê134;+/- 2Ê127;California;1Ê403;+/- 792;5Ê413;+/- 1Ê361;40Ê999;+/- 5Ê372;9Ê925;+/- 2Ê313;895;+/- 493;California;21Ê162;+/- 4Ê009;33Ê143;+/- 4Ê599;789;+/- 525;9Ê348;+/- 3Ê574;1Ê395;+/- 994;California;318Ê752;+/- 16Ê837;1Ê864;+/- 876;842;+/- 422;316Ê046;+/- 16Ê679
