dose,category,location,year,coverage,low,high,size
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,Utah,2010,86.500000,79.400000,91.400000,191.000000
1doseVaricellaVaccinationVFCProgramProvider,Not Participating ,California,2014,90.300000,76.600000,96.300000,55.000000
1doseVaricellaVaccinationAge,13 Months,New Mexico,2011,56.000000,48.400000,63.300000,332.000000
1doseVaricellaVaccinationFacilityType,Mixed,Oregon,2009,94.600000,80.100000,98.700000,42.000000
1doseVaricellaVaccinationFacilityType,Private,WI-Rest of State,2006,84.800000,74.800000,91.200000,95.000000
1doseVaricellaVaccinationPoverty,Unknown poverty,Arizona,1998,47.200000,34.200000,60.500000,70.000000
1doseVaricellaVaccinationRaceEthnicity,Black only  non-Hispanic,Region  9,2007,86.000000,65.600000,95.200000,62.000000
1doseVaricellaVaccinationFacilityType,Private,CA-Alameda County,2007,86.400000,78.900000,91.500000,223.000000
1doseVaricellaVaccinationFacilityType,Public,South Carolina,2012,97.000000,87.600000,99.300000,50.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,Washington,2010,85.700000,80.300000,89.900000,319.000000
1doseVaricellaVaccinationWIC,Not Participating ,TX-Rest of State,2003,91.800000,85.500000,95.500000,172.000000
1doseVaricellaVaccinationAge,24 Months,WI-Milwaukee County,2003,83.900000,77.100000,89.000000,262.000000
1doseVaricellaVaccinationVFCProgramProvider,Participating,Idaho,2011,86.900000,80.000000,91.600000,259.000000
1doseVaricellaVaccinationFacilityType,Other,Region  8,2015,91.800000,86.900000,95.000000,368.000000
1doseVaricellaVaccinationFacilityType,Private,Region  9,2010,89.700000,85.100000,93.000000,746.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,TN-Rest of State,2006,89.800000,83.200000,94.000000,182.000000
1doseVaricellaVaccinationAge,19-35 Months,Georgia,2004,91.600000,86.400000,94.900000,549.000000
1doseVaricellaVaccinationUrbanicity,Living In An MSA Central City,TX-El Paso County,1998,40.300000,34.200000,46.700000,270.000000
1doseVaricellaVaccinationWIC,Participating,WI-Milwaukee County,2006,94.000000,88.100000,97.000000,126.000000
1doseVaricellaVaccinationPoverty,Living Below Poverty,Region  4,2005,89.700000,84.900000,93.100000,564.000000
1doseVaricellaVaccinationPoverty,Living Below Poverty,District of Columbia,1999,79.000000,68.000000,86.900000,104.000000
1doseVaricellaVaccinationUrbanicity,Living In An MSA Central City,California,1996,14.700000,10.400000,20.500000,394.000000
1doseVaricellaVaccinationRaceEthnicity,American Indian or Alaska Native only  non-Hispanic,Texas,2000,82.600000,58.100000,94.200000,43.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,TX-Rest of State,2003,86.500000,80.600000,90.800000,240.000000
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,AZ-Maricopa County,2000,69.000000,59.200000,77.300000,127.000000
1doseVaricellaVaccinationAge,13 Months,Illinois,2010,58.300000,53.000000,63.500000,657.000000
1doseVaricellaVaccinationRaceEthnicity,American Indian or Alaska Native only  non-Hispanic,Region 10,2004,85.800000,64.600000,95.200000,73.000000
1doseVaricellaVaccinationFacilityType,Other,Vermont,2014,92.000000,82.400000,96.600000,61.000000
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,New York,2000,74.500000,67.500000,80.500000,200.000000
1doseVaricellaVaccinationFacilityType,Private,New Mexico,2002,81.200000,72.500000,87.600000,141.000000
1doseVaricellaVaccinationRaceEthnicity,Hispanic,Region  3,2011,92.300000,85.300000,96.100000,330.000000
1doseVaricellaVaccinationVFCProgramProvider,Not Participating ,IL-Rest of State,2003,65.600000,48.200000,79.700000,40.000000
1doseVaricellaVaccinationPoverty,Living Below Poverty,Illinois,2001,47.600000,34.700000,60.900000,109.000000
1doseVaricellaVaccinationAge,13 Months,OH-Rest of State,2006,48.900000,41.900000,55.900000,273.000000
1doseVaricellaVaccinationFacilityType,Public,Wisconsin,2003,83.300000,66.900000,92.400000,51.000000
1doseVaricellaVaccinationFacilityType,Public,GA-Rest of State,1999,59.100000,41.400000,74.800000,53.000000
1doseVaricellaVaccinationUrbanicity,Living In An MSA Central City,TX-City of Houston,1997,19.200000,14.100000,25.500000,227.000000
1doseVaricellaVaccinationPoverty,Living Below Poverty,WI-Milwaukee County,2006,96.200000,89.800000,98.600000,73.000000
1doseVaricellaVaccinationFacilityType,Other,Region  9,1999,66.900000,59.600000,73.500000,500.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,Region  7,2004,82.400000,79.000000,85.500000,881.000000
1doseVaricellaVaccinationAge,19 Months,North Dakota,2015,90.600000,85.800000,93.900000,234.000000
1doseVaricellaVaccinationAge,19 Months,Kansas,2004,71.700000,64.000000,78.300000,260.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,Alaska,1997,10.800000,7.100000,15.900000,214.000000
1doseVaricellaVaccinationAge,24 Months,Rhode Island,2017,93.700000,89.900000,96.100000,249.000000
1doseVaricellaVaccinationUrbanicity,Living In An MSA Central City,NY-City of New York,2001,82.300000,76.600000,86.800000,281.000000
1doseVaricellaVaccinationWIC,Not Participating ,OH-Rest of State,2005,85.300000,77.100000,90.900000,157.000000
1doseVaricellaVaccinationVFCProgramProvider,Participating,Wisconsin,2002,81.000000,75.800000,85.200000,370.000000
1doseVaricellaVaccinationWIC,Participating,TX-El Paso County,2003,86.500000,80.000000,91.200000,188.000000
1doseVaricellaVaccinationAge,24 Months,CO-Rest of State,2005,83.000000,75.500000,88.500000,196.000000
1doseVaricellaVaccinationWIC,Not Participating ,Ohio,2013,83.500000,74.300000,89.900000,129.000000
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,NY-Rest of State,1998,41.700000,34.600000,49.300000,198.000000
1doseVaricellaVaccinationAge,19 Months,Arizona,1997,23.400000,19.700000,27.600000,560.000000
1doseVaricellaVaccinationAge,19 Months,Region  1,1996,6.500000,5.000000,8.200000,2053.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,MN-Rest of State,2007,89.700000,84.100000,93.500000,240.000000
1doseVaricellaVaccinationRaceEthnicity,Multiple Races  non-Hispanic,Region 10,2016,87.800000,77.400000,93.800000,112.000000
1doseVaricellaVaccinationWIC,Participating,New Hampshire,2011,94.000000,84.300000,97.900000,75.000000
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,Delaware,2005,90.500000,80.700000,95.600000,81.000000
1doseVaricellaVaccinationFacilityType,Public,Pennsylvania,2009,69.600000,46.600000,85.700000,32.000000
1doseVaricellaVaccinationVFCProgramProvider,Participating,Mississippi,2016,92.600000,87.200000,95.800000,194.000000
1doseVaricellaVaccinationUrbanicity,Living In A Non MSA,Maine,2010,86.500000,76.000000,92.800000,95.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,South Carolina,2011,87.100000,77.900000,92.900000,184.000000
1doseVaricellaVaccinationPoverty,Living Below Poverty,Kentucky,2007,83.700000,69.700000,91.900000,74.000000
1doseVaricellaVaccinationWIC,Participating,Region  2,2014,91.500000,87.100000,94.600000,312.000000
1doseVaricellaVaccinationWIC,Not Participating ,MI-Rest of State,2004,89.800000,83.800000,93.800000,209.000000
1doseVaricellaVaccinationAge,19 Months,NM-Rest of State,1999,44.400000,37.700000,51.200000,300.000000
1doseVaricellaVaccinationUrbanicity,Living In An MSA Central City,Montana,1996,25.500000,16.300000,37.600000,75.000000
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,Texas,2016,88.700000,83.100000,92.500000,431.000000
1doseVaricellaVaccinationAge,19-35 Months,Ohio,2002,75.400000,70.700000,79.500000,859.000000
1doseVaricellaVaccinationWIC,Participating,California,2015,90.600000,82.600000,95.200000,134.000000
1doseVaricellaVaccinationAge,13 Months,TX-Rest of State,2011,61.900000,55.300000,68.100000,429.000000
1doseVaricellaVaccinationRaceEthnicity,Hispanic,Oklahoma,2000,73.300000,65.800000,79.700000,214.000000
1doseVaricellaVaccinationAge,13 Months,Vermont,2007,43.200000,34.900000,51.900000,210.000000
1doseVaricellaVaccinationRaceEthnicity,Multiple Races  non-Hispanic,Oklahoma,2012,94.700000,82.600000,98.500000,36.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,Missouri,2001,69.400000,62.000000,75.900000,213.000000
1doseVaricellaVaccinationUrbanicity,Living In An MSA Central City,WI-Rest of State,1998,35.300000,26.300000,45.500000,99.000000
1doseVaricellaVaccinationVFCProgramProvider,Participating,Florida,2013,94.200000,88.100000,97.300000,194.000000
1doseVaricellaVaccinationUrbanicity,Living In An MSA Central City,AZ-Maricopa County,2001,78.000000,70.700000,83.900000,160.000000
1doseVaricellaVaccinationAge,19 Months,Florida,2009,87.900000,82.800000,91.600000,326.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,Ohio,2007,87.800000,81.900000,92.000000,239.000000
1doseVaricellaVaccinationAge,19 Months,Utah,2013,89.600000,84.900000,93.000000,249.000000
1doseVaricellaVaccinationWIC,Not Participating ,IL-City of Chicago,2009,87.800000,81.800000,92.100000,178.000000
1doseVaricellaVaccinationAge,24 Months,Nevada,2005,81.000000,75.500000,85.500000,347.000000
1doseVaricellaVaccinationRaceEthnicity,Black only  non-Hispanic,Georgia,2008,82.200000,64.700000,92.100000,65.000000
1doseVaricellaVaccinationPoverty,Living Below Poverty,Indiana,2000,62.900000,47.500000,76.000000,75.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,NJ-Rest of State,1997,33.200000,26.500000,40.600000,231.000000
1doseVaricellaVaccinationVFCProgramProvider,Participating,Washington,2008,88.000000,83.100000,91.600000,401.000000
1doseVaricellaVaccinationRaceEthnicity,Black only  non-Hispanic,FL-Rest of State,1999,52.600000,33.800000,70.700000,37.000000
1doseVaricellaVaccinationAge,19 Months,Minnesota,2014,89.700000,82.700000,94.000000,199.000000
1doseVaricellaVaccinationAge,19 Months,Region  6,2010,86.200000,83.900000,88.200000,2590.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,CO-Rest of State,2001,79.700000,74.100000,84.400000,275.000000
1doseVaricellaVaccinationFacilityType,Mixed,TX-Rest of State,2013,95.000000,85.700000,98.300000,52.000000
1doseVaricellaVaccinationAge,24 Months,MD-City of Baltimore,2000,74.300000,68.300000,79.500000,293.000000
1doseVaricellaVaccinationAge,19-35 Months,Massachusetts,2003,89.100000,84.000000,92.700000,567.000000
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,Tennessee,2010,97.700000,92.700000,99.300000,102.000000
1doseVaricellaVaccinationUrbanicity,Living In A Non MSA,Minnesota,2015,89.700000,75.000000,96.200000,54.000000
1doseVaricellaVaccinationRaceEthnicity,Asian only  non-Hispanic,Pennsylvania,2014,96.100000,81.700000,99.300000,36.000000
1doseVaricellaVaccinationVFCProgramProvider,Not Participating ,Maryland,2016,90.300000,63.100000,98.100000,60.000000
1doseVaricellaVaccinationVFCProgramProvider,Participating,Michigan,2001,80.500000,75.000000,85.000000,500.000000
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,Pennsylvania,2015,88.600000,81.200000,93.300000,295.000000
1doseVaricellaVaccinationFacilityType,Private,Region  4,2014,95.200000,92.700000,96.900000,1188.000000
1doseVaricellaVaccinationUrbanicity,Living in an MSA Noncentral City,TX-Dallas County,2000,65.200000,56.800000,72.700000,161.000000
1doseVaricellaVaccinationAge,13 Months,Michigan,2016,64.300000,56.400000,71.400000,230.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,Colorado,2017,89.500000,83.300000,93.600000,223.000000
1doseVaricellaVaccinationRaceEthnicity,Black only  non-Hispanic,GA-Rest of State,2007,87.900000,75.400000,94.500000,61.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,United States,2004,87.500000,86.600000,88.300000,16004.000000
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,New Jersey,2005,84.200000,74.600000,90.700000,143.000000
1doseVaricellaVaccinationWIC,Not Participating ,Hawaii,2003,86.700000,75.700000,93.100000,118.000000
1doseVaricellaVaccinationPoverty,Living Below Poverty,AL-Jefferson County,2003,96.500000,86.900000,99.100000,49.000000
1doseVaricellaVaccinationVFCProgramProvider,Not Participating ,NY-Rest of State,2000,80.100000,60.900000,91.200000,31.000000
1doseVaricellaVaccinationAge,24 Months,Connecticut,2004,90.200000,84.700000,93.900000,237.000000
1doseVaricellaVaccinationFacilityType,Mixed,Tennessee,2015,79.400000,59.600000,91.000000,42.000000
1doseVaricellaVaccinationUrbanicity,Living In A Non MSA,Region  5,1996,10.800000,7.900000,14.500000,452.000000
1doseVaricellaVaccinationAge,13 Months,Region  9,2003,49.400000,45.800000,52.900000,2261.000000
1doseVaricellaVaccinationAge,13 Months,TX-Dallas County,2012,58.700000,50.600000,66.300000,323.000000
1doseVaricellaVaccinationFacilityType,Public,Region  5,2004,79.200000,73.300000,84.100000,406.000000
1doseVaricellaVaccinationFacilityType,Public,West Virginia,2006,68.800000,46.600000,84.800000,35.000000
1doseVaricellaVaccinationFacilityType,Other,IL-Rest of State,2011,78.800000,59.600000,90.300000,47.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,TX-Bexar County,2007,91.400000,86.000000,94.800000,217.000000
1doseVaricellaVaccinationVFCProgramProvider,Participating,Kentucky,2013,94.200000,88.400000,97.200000,144.000000
1doseVaricellaVaccinationRaceEthnicity,Hispanic,OH-Cuyahoga County,2002,80.000000,71.300000,86.600000,196.000000
1doseVaricellaVaccinationPoverty,Living At or Above Poverty,Region 10,2009,83.100000,79.600000,86.100000,937.000000
1doseVaricellaVaccinationFacilityType,Mixed,OH-Rest of State,2008,85.900000,61.900000,95.800000,34.000000
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,PA-Rest of State,2007,91.200000,86.700000,94.300000,278.000000
1doseVaricellaVaccinationRaceEthnicity,Black only  non-Hispanic,Region  3,2004,87.900000,80.800000,92.600000,561.000000
1doseVaricellaVaccinationUrbanicity,Living In A Non MSA,Maine,2017,91.400000,84.100000,95.500000,113.000000
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,MA-Rest of State,2003,86.000000,78.600000,91.100000,191.000000
1doseVaricellaVaccinationAge,19-35 Months,Washington,1997,11.800000,9.200000,15.000000,621.000000
1doseVaricellaVaccinationAge,19-35 Months,AZ-Rest of State,1998,45.800000,39.100000,52.600000,278.000000
1doseVaricellaVaccinationRaceEthnicity,White only  non-Hispanic,OH-Cuyahoga County,2005,88.100000,79.200000,93.500000,168.000000
1doseVaricellaVaccinationFacilityType,Other,CA-Rest of State,1999,67.800000,54.400000,78.700000,66.000000
1doseVaricellaVaccinationFacilityType,Private,South Dakota,2014,97.100000,85.000000,99.500000,47.000000
